Time - Plot 0	Pulses/s - Plot 0	Time - Plot 1	Pulses/s - Plot 1	
0	0	0	0	
1	0	1	8	
2	2	2	9	
3	3	3	9	
4	3	4	9	
5	5	5	9	
6	6	6	9	
7	6	7	9	
8	8	8	9	
9	8	9	8	
10	8	10	9	
11	8	11	9	
12	8	12	9	
13	9	13	9	
14	8	14	9	
15	8	15	9	
16	9	16	9	
17	8	17	9	
18	8	18	8	
19	8	19	9	
20	9	20	9	
21	8	21	9	
22	8	22	9	
23	9	23	9	
24	8	24	9	
25	8	25	9	
26	9	26	9	
27	8	27	9	
28	8	28	8	
29	9	29	9	
30	8	30	9	
31	8	31	9	
32	9	32	9	
33	8	33	9	
34	9	34	9	
35	8	35	9	
36	8	36	9	
37	9	37	8	
38	8	38	9	
39	8	39	9	
40	9	40	9	
41	8	41	9	
42	8	42	9	
43	9	43	9	
44	8	44	9	
45	8	45	9	
46	9	46	9	
47	8	47	8	
48	9	48	9	
49	8	49	9	
50	8	50	9	
51	9	51	9	
52	8	52	9	
53	8	53	9	
54	9	54	9	
55	8	55	8	
56	8	56	9	
57	9	57	9	
58	8	58	9	
59	9	59	9	
60	8	60	9	
61	8	61	9	
62	9	62	9	
63	8	63	9	
64	8	64	9	
65	9	65	8	
66	8	66	9	
67	8	67	9	
68	9	68	9	
69	8	69	9	
70	9	70	9	
71	8	71	9	
72	8	72	9	
73	9	73	9	
74	8	74	9	
75	8	75	8	
76	9	76	9	
77	8	77	9	
78	8	78	9	
79	9	79	9	
80	8	80	9	
81	8	81	9	
82	9	82	9	
83	8	83	9	
84	8	84	9	
85	9	85	9	
86	8	86	9	
87	8	87	8	
88	9	88	9	
89	8	89	9	
90	9	90	9	
91	8	91	9	
92	8	92	9	
93	9	93	9	
94	8	94	9	
95	8	95	9	
96	9	96	9	
97	8	97	8	
98	8	98	9	
99	9	99	9	
100	8	100	9	
101	8	101	9	
102	9	102	9	
103	8	103	9	
104	8	104	9	
105	9	105	9	
106	8	106	8	
107	9	107	9	
108	8	108	9	
109	8	109	9	
110	9	110	9	
111	8	111	9	
112	8	112	9	
113	9	113	9	
114	8	114	9	
115	8	115	9	
116	9	116	9	
117	8	117	9	
118	8	118	8	
119	9	119	9	
120	8	120	9	
121	8	121	9	
122	9	122	9	
123	8	123	9	
124	8	124	9	
125	9	125	9	
126	8	126	9	
127	8	127	9	
128	9	128	9	
129	8	129	8	
130	9	130	9	
131	8	131	9	
132	8	132	9	
133	9	133	9	
134	8	134	9	
135	8	135	9	
136	9	136	9	
137	8	137	9	
138	8	138	9	
139	9	139	9	
140	8	140	9	
141	8	141	9	
142	9	142	9	
143	8	143	9	
144	8	144	9	
145	9	145	9	
146	8	146	9	
147	8	147	9	
148	9	148	9	
149	8	149	9	
150	8	150	9	
151	9	151	10	
152	8	152	9	
