Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0	0	0	
1	0	1	2,13671	
2	20,2707	2	2,42537	
3	60,4034	3	1,8585	
4	64,1541	4	5,1805	
5	106,486	5	8,65987	
6	198,902	6	19,4814	
7	228,128	7	30,1031	
8	330,362	8	46,0832	
9	332,949	9	60,2736	
10	323,778	10	90,2085	
11	310,818	11	107,589	
12	292,703	12	135,255	
13	317,592	13	148,513	
14	268,173	14	166,765	
15	262,113	15	182,248	
16	287,033	16	189,7	
17	251,893	17	202,25	
18	249,048	18	185,783	
19	248,083	19	216,62	
20	280,236	20	222,928	
21	251,788	21	225,334	
22	256,518	22	231,435	
23	292,829	23	233,483	
24	261,638	24	236,886	
25	260,248	25	242,015	
26	293,368	26	247,035	
27	260,921	27	250,312	
28	262,995	28	226,263	
29	298,802	29	257,698	
30	267,53	30	263,076	
31	268,179	31	264,691	
32	304,539	32	268,108	
33	269,42	33	270,589	
34	306,881	34	272,734	
35	273,051	35	274,801	
36	274,543	36	278,162	
37	310,993	37	249,698	
38	276,148	38	283,657	
39	280,009	39	286,177	
40	313,831	40	286,992	
41	281,442	41	292,414	
42	280,024	42	293,404	
43	315,894	43	294,635	
44	281,542	44	296,937	
45	281,135	45	298,217	
46	316,625	46	301,552	
47	280,649	47	267,307	
48	315,587	48	303,061	
49	281,221	49	303,233	
50	282,07	50	305,964	
51	316,644	51	306,787	
52	281,164	52	307,81	
53	280,773	53	309,382	
54	314,355	54	309,85	
55	279,091	55	277,383	
56	279,436	56	312,279	
57	313,886	57	313,955	
58	280,092	58	313,95	
59	313,542	59	313,732	
60	279,033	60	314,028	
61	279,678	61	314,757	
62	311,755	62	314,862	
63	278,422	63	314,814	
64	276,606	64	315,278	
65	312,718	65	280,862	
66	278,004	66	316,119	
67	276,94	67	315,85	
68	311,955	68	316,633	
69	277,113	69	316,277	
70	311,973	70	315,554	
71	277,031	71	316,228	
72	277,636	72	316,383	
73	311,129	73	316,678	
74	275,639	74	316,226	
75	275,251	75	281,197	
76	309,814	76	317,66	
77	275,445	77	317,393	
78	274,498	78	317,247	
79	309,718	79	316,334	
80	273,424	80	317,547	
81	273,271	81	317,044	
82	308,079	82	315,819	
83	274,269	83	316,043	
84	273,689	84	315,381	
85	307,687	85	315,793	
86	274,228	86	315,764	
87	272,801	87	280,957	
88	308,571	88	315,811	
89	273,482	89	316,261	
90	306,81	90	315,577	
91	273,79	91	316,009	
92	273,618	92	315,592	
93	306,326	93	315,588	
94	270,903	94	314,811	
95	269,404	95	315,069	
96	305,036	96	315,549	
97	270,432	97	279,957	
98	269,966	98	314,163	
99	303,643	99	314,525	
100	269,613	100	314,633	
101	269,231	101	313,55	
102	302,162	102	313,991	
103	268,698	103	313,816	
104	270,155	104	313,496	
105	302,924	105	314,367	
106	269,628	106	278,313	
107	300,756	107	312,815	
108	266,357	108	312,567	
109	267,416	109	312,806	
110	300,07	110	312,751	
111	266,061	111	312,88	
112	266,118	112	311,844	
113	298,076	113	310,556	
114	266,21	114	310,582	
115	265,783	115	310,61	
116	299,867	116	310,863	
117	265,579	117	310,146	
118	264,576	118	275,366	
119	296,166	119	310,19	
120	263,929	120	309,59	
121	264,436	121	309,123	
122	296,306	122	308,851	
123	263,2	123	307,822	
124	263,619	124	307,565	
125	293,84	125	307,736	
126	261,353	126	307,864	
127	262,1	127	307,22	
128	294,776	128	307,443	
129	260,614	129	272,327	
130	292,581	130	306,297	
131	260,673	131	305,517	
132	259,873	132	305,254	
133	292,792	133	305,51	
134	259,721	134	304,259	
135	260,382	135	304,566	
136	291,879	136	304,288	
137	258,881	137	304,644	
138	259,085	138	303,652	
139	292,07	139	303,038	
140	257,322	140	301,785	
141	258,84	141	300,904	
142	290,697	142	300,144	
143	258,798	143	300,062	
144	260,147	144	299,526	
145	290,111	145	299,339	
146	259,171	146	298,43	
147	258,31	147	298,761	
148	290,714	148	297,613	
149	258,932	149	297,673	
150	258,039	150	296,341	
151	289,534	151	329,67	
152	255,582	152	296,579	
153	255,39	153	295,69	
154	287,677	154	295,682	
155	253,81	155	294,865	
156	255,878	156	294,826	
157	286,358	157	294,725	
158	253,023	158	295,084	
159	284,928	159	293,662	
160	254,006	160	293,306	
161	252,871	161	293,822	
162	285,101	162	293,01	
163	253,152	163	292,765	
164	253,025	164	325,016	
165	285,088	165	291,749	
166	253,3	166	291,271	
167	253,374	167	291,825	
168	282,957	168	291,632	
169	252,847	169	290,267	
170	251,86	170	290,143	
171	282,118	171	290,871	
172	251,51	172	291,111	
173	249,318	173	289,607	
174	282,88	174	321,6	
175	249,544	175	288,687	
176	251,396	176	289,389	
177	281,715	177	288,692	
178	246,956	178	287,821	
179	247,357	179	288,406	
180	278,544	180	287,694	
181	247,146	181	287,485	
182	246,307	182	287,171	
183	276,823	183	286,975	
184	245,456	184	286,476	
185	245,659	185	285,856	
186	245,377	186	285,204	
187	274,85	187	316,524	
188	244,156	188	283,933	
189	245,242	189	283,921	
