Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	59,4035	0	26,5303	0	25,8055	0	15,1918	0	15,0285	
1	59,6848	1	26,5163	1	25,809	1	15,1973	1	15,0377	
2	59,6408	2	31,8348	2	25,7802	2	15,1725	2	15,0115	
3	59,6895	3	37,8007	3	25,7729	3	15,1523	3	15,0289	
4	59,5718	4	38,2086	4	25,434	4	15,3534	4	15,0095	
5	59,5911	5	37,7618	5	25,0395	5	15,5679	5	14,9931	
6	59,5994	6	39,3738	6	19,5708	6	16,2909	6	14,9979	
7	59,5921	7	40,3526	7	17,6398	7	17,0245	7	15,0264	
8	59,5837	8	41,3334	8	16,6648	8	18,076	8	15,0173	
9	59,6248	9	42,2571	9	17,3953	9	19,5094	9	15,0087	
10	59,5828	10	42,6795	10	18,5025	10	20,9637	10	14,9761	
11	59,5906	11	42,9684	11	19,7592	11	22,1462	11	15,005	
12	59,5371	12	43,1789	12	21,3223	12	23,9515	12	14,974	
13	59,5602	13	43,3733	13	22,2933	13	24,8366	13	14,979	
14	59,543	14	43,637	14	23,6121	14	26,0637	14	14,9947	
15	59,4982	15	43,7943	15	24,222	15	27,1092	15	15,0126	
16	59,496	16	43,8935	16	24,8418	16	27,5865	16	14,9953	
17	59,3812	17	44,1782	17	25,369	17	28,4035	17	14,9792	
18	59,3491	18	44,4251	18	25,8283	18	28,8671	18	14,9944	
19	59,255	19	44,608	19	26,0833	19	29,374	19	14,9959	
20	59,1685	20	45,0899	20	26,4894	20	29,8244	20	15,0277	
21	59,1148	21	45,4575	21	26,6561	21	29,9596	21	15,0032	
22	59,1163	22	46,1198	22	26,9652	22	30,3519	22	14,9905	
23	59,0827	23	46,5056	23	27,0692	23	30,4776	23	14,9803	
24	59,0866	24	46,7205	24	27,1836	24	30,7134	24	14,9901	
25	59,0724	25	46,9677	25	27,5346	25	31,0655	25	15,0019	
26	58,9846	26	47,1602	26	27,688	26	31,3809	26	14,984	
27	58,6961	27	47,3027	27	27,8193	27	31,5906	27	14,9763	
28	58,44	28	47,607	28	27,9687	28	31,8817	28	14,9863	
29	58,3465	29	47,951	29	28,1181	29	32,0658	29	14,9612	
30	58,4025	30	48,3892	30	28,4124	30	32,4579	30	14,9963	
31	58,4529	31	48,5252	31	28,4999	31	32,5507	31	14,982	
32	58,4312	32	48,7079	32	28,4942	32	32,7857	32	14,9901	
33	58,258	33	48,902	33	28,784	33	32,9172	33	14,957	
34	58,1474	34	49,1267	34	28,7575	34	33,099	34	14,9964	
35	57,9017	35	49,2989	35	28,9098	35	33,214	35	14,9742	
36	57,4393	36	49,6757	36	29,1751	36	33,4394	36	14,9765	
37	56,9628	37	49,8176	37	29,1756	37	33,6114	37	14,9661	
38	56,3202	38	50,0548	38	29,4344	38	33,7937	38	14,9661	
39	56,0949	39	50,2964	39	29,3878	39	33,9576	39	14,9627	
40	56,045	40	50,3848	40	29,5544	40	34,0257	40	14,9767	
41	56,262	41	50,6214	41	29,6057	41	34,3713	41	14,9624	
42	56,1983	42	50,6283	42	29,7186	42	34,4551	42	14,9805	
43	56,2126	43	50,8005	43	29,8331	43	34,5246	43	14,9684	
44	56,2743	44	50,9659	44	29,9428	44	34,6928	44	14,9837	
45	56,1102	45	51,0352	45	30,0424	45	34,792	45	14,9979	
46	56,0285	46	51,1644	46	30,1485	46	34,9865	46	14,9711	
47	55,9493	47	51,1727	47	30,2162	47	34,9304	47	14,9702	
48	55,9149	48	51,2064	48	30,2594	48	35,06	48	14,9444	
49	55,7464	49	51,3347	49	30,3355	49	35,0875	49	14,9605	
50	55,769	50	51,3892	50	30,3266	50	35,2583	50	14,9501	
51	55,6508	51	51,4359	51	30,4188	51	35,3159	51	14,953	
52	55,5921	52	51,4427	52	30,4478	52	35,3556	52	14,9248	
53	55,5553	53	51,4704	53	30,5046	53	35,5375	53	15,0024	
54	55,6023	54	51,4704	54	30,6052	54	35,4785	54	14,9124	
55	55,6014	55	51,5061	55	30,6659	55	35,6751	55	14,9625	
56	55,5902	56	51,5128	56	30,647	56	35,6487	56	14,9214	
57	55,4515	57	51,556	57	30,7219	57	35,7603	57	14,9216	
58	55,3616	58	51,5836	58	30,6687	58	35,7812	58	14,9429	
59	54,4968	59	51,6274	59	30,8162	59	35,7887	59	14,9648	
60	54,3416	60	51,6211	60	30,7854	60	35,8071	60	14,9636	
61	54,8194	61	51,6336	61	30,7497	61	35,8207	61	14,9288	
62	54,5618	62	51,641	62	30,9484	62	35,8529	62	14,9541	
63	54,2348	63	51,6475	63	30,8573	63	35,8721	63	14,9764	
64	54,074	64	51,5612	64	30,9067	64	35,8535	64	14,927	
65	53,7611	65	51,5577	65	30,8011	65	35,8971	65	14,9248	
66	53,7005	66	51,5798	66	30,8208	66	35,9008	66	14,9185	
67	53,7494	67	51,5816	67	30,9021	67	35,9115	67	14,9471	
68	53,6479	68	51,6067	68	30,9008	68	35,9622	68	14,9458	
69	53,6566	69	51,5144	69	30,8219	69	35,9267	69	14,9339	
70	53,6504	70	51,5652	70	30,8581	70	35,8958	70	14,9511	
71	53,644	71	51,5982	71	30,9119	71	35,9208	71	14,9313	
72	53,6147	72	51,5924	72	30,8609	72	35,9556	72	14,9558	
73	53,578	73	51,5983	73	30,9472	73	35,9804	73	14,961	
74	53,5544	74	51,5785	74	30,9962	74	35,9281	74	14,9387	
75	53,5239	75	51,544	75	30,9907	75	35,9577	75	14,9602	
76	53,3672	76	51,5396	76	30,9759	76	36,0088	76	14,9243	
77	53,2654	77	51,4676	77	30,8998	77	35,9626	77	14,8957	
78	53,2229	78	51,4536	78	30,9564	78	35,9708	78	14,9136	
79	53,3302	79	51,4459	79	30,8885	79	35,9518	79	14,9552	
80	53,391	80	51,3919	80	30,975	80	36,0019	80	14,9248	
81	53,3181	81	51,4007	81	30,9952	81	35,9542	81	14,9105	
82	53,2403	82	51,4081	82	30,9595	82	35,8944	82	14,932	
83	53,1531	83	51,4111	83	30,9311	83	35,8918	83	14,9146	
84	52,9364	84	51,3855	84	30,9487	84	35,8705	84	14,9372	
85	52,8508	85	51,3627	85	30,9401	85	35,8601	85	14,8994	
86	52,861	86	51,3701	86	30,8931	86	35,8886	86	14,9299	
87	52,8463	87	51,3383	87	30,9679	87	35,8728	87	14,8934	
88	52,8423	88	51,3377	88	30,8564	88	35,8988	88	14,937	
89	52,8305	89	51,303	89	30,8817	89	35,8824	89	14,8907	
90	52,8625	90	51,2775	90	30,9131	90	35,8626	90	14,9163	
91	52,7822	91	51,2493	91	30,805	91	35,8851	91	14,9101	
92	52,7768	92	51,2306	92	30,7991	92	35,861	92	14,9137	
93	52,7969	93	51,206	93	30,8737	93	35,874	93	14,9269	
94	52,6917	94	51,1381	94	30,9094	94	35,8062	94	14,9107	
95	52,653	95	51,0625	95	30,9458	95	35,8078	95	14,8952	
96	52,6334	96	51,0215	96	30,7748	96	35,8354	96	14,8909	
97	52,5388	97	51,0252	97	30,8316	97	35,8148	97	14,91	
98	52,5359	98	50,9998	98	30,8411	98	35,763	98	14,9105	
99	52,5823	99	50,9912	99	30,837	99	35,7748	99	14,8983	
100	52,5517	100	50,9479	100	30,8155	100	35,8001	100	14,9165	
101	52,5742	101	50,9123	101	30,8084	101	35,7206	101	14,9088	
102	52,4986	102	50,8589	102	30,803	102	35,7119	102	14,8709	
103	52,4179	103	50,8766	103	30,8126	103	35,7449	103	14,9154	
104	52,3637	104	50,8875	104	30,7147	104	35,6829	104	14,8747	
105	52,1859	105	50,842	105	30,7356	105	35,751	105	14,885	
106	52,0995	106	50,7961	106	30,6625	106	35,6292	106	14,8471	
107	52,1298	107	50,7652	107	30,8026	107	35,6559	107	14,8929	
108	52,0484	108	50,7389	108	30,8497	108	35,6443	108	14,8978	
109	52,0139	109	50,6736	109	30,7053	109	35,6614	109	14,899	
110	51,9373	110	50,6506	110	30,7335	110	35,6264	110	14,8677	
111	51,9624	111	50,6308	111	30,7636	111	35,6545	111	14,8872	
112	51,9278	112	50,6002	112	30,7288	112	35,5875	112	14,889	
113	51,8086	113	50,5615	113	30,7768	113	35,5189	113	14,9059	
114	51,7606	114	50,5274	114	30,6491	114	35,4783	114	14,8636	
115	51,6661	115	50,4942	115	30,6478	115	35,456	115	14,8393	
116	51,6396	116	50,4769	116	30,5734	116	35,5273	116	14,8939	
117	51,708	117	50,4512	117	30,62	117	35,447	117	14,8612	
118	51,8353	118	50,3787	118	30,6225	118	35,4228	118	14,8608	
119	51,8919	119	50,3332	119	30,6753	119	35,4431	119	14,8543	
120	51,8591	120	50,3445	120	30,6366	120	35,4602	120	14,9113	
121	51,6315	121	50,2717	121	30,5258	121	35,408	121	14,89	
122	51,5722	122	50,2279	122	30,5608	122	35,3548	122	14,8549	
123	51,4821	123	50,2277	123	30,5742	123	35,2858	123	14,8543	
124	51,3797	124	50,186	124	30,5012	124	35,282	124	14,8675	
125	51,3632	125	50,1243	125	30,6208	125	35,2579	125	14,832	
126	51,371	126	50,1308	126	30,6152	126	35,3145	126	14,8801	
127	51,3859	127	50,1134	127	30,5421	127	35,2576	127	14,866	
128	51,3414	128	50,0594	128	30,4937	128	35,2796	128	14,8732	
129	51,1546	129	50,0006	129	30,5401	129	35,1962	129	14,8612	
130	51,0457	130	50,0054	130	30,5855	130	35,1927	130	14,8624	
131	51,1138	131	49,9647	131	30,4998	131	35,1571	131	14,8785	
132	51,0631	132	49,8803	132	30,4752	132	35,1232	132	14,8621	
133	51,037	133	49,8426	133	30,4086	133	35,1308	133	14,8527	
134	50,8023	134	49,8022	134	30,4084	134	35,0609	134	14,8658	
135	50,7413	135	49,8031	135	30,36	135	35,0679	135	14,8525	
136	50,725	136	49,7568	136	30,3835	136	35,0323	136	14,8353	
137	50,749	137	49,7571	137	30,4261	137	35,071	137	14,8504	
138	50,7238	138	49,7451	138	30,3988	138	34,9985	138	14,8437	
139	50,7557	139	49,6726	139	30,2866	139	34,9335	139	14,8195	
140	50,6861	140	49,6079	140	30,3933	140	34,869	140	14,8381	
141	50,6447	141	49,6021	141	30,2741	141	34,8354	141	14,8631	
142	50,7056	142	49,5564	142	30,2615	142	34,7523	142	14,8303	
143	50,7023	143	49,5364	143	30,2116	143	34,7638	143	14,8474	
144	50,7581	144	49,5017	144	30,0762	144	34,6987	144	14,8178	
145	50,6339	145	49,4638	145	30,2078	145	34,6753	145	14,8068	
146	50,5277	146	49,4201	146	30,0674	146	34,6367	146	14,8285	
147	50,3796	147	49,382	147	30,0936	147	34,6613	147	14,8312	
148	50,3915	148	49,3462	148	30,0502	148	34,5544	148	14,8005	
149	50,4177	149	49,3627	149	30,0279	149	34,5964	149	14,8384	
150	50,4533	150	49,3009	150	30,0328	150	34,5057	150	14,8362	
151	50,39	151	49,2225	151	30,0048	151	34,4943	151	14,8008	
152	50,3765	152	49,1959	152	30,1112	152	34,5015	152	14,8162	
153	50,5367	153	49,1528	153	30,0825	153	34,4958	153	14,8695	
154	50,464	154	49,0855	154	29,991	154	34,4436	154	14,8178	
155	50,4145	155	49,066	155	30,1137	155	34,3878	155	14,8162	
156	50,1313	156	48,9952	156	29,8884	156	34,3704	156	14,8015	
157	50,1601	157	48,9198	157	29,9129	157	34,3433	157	14,781	
158	50,0721	158	48,8649	158	29,9714	158	34,3977	158	14,8116	
159	50,0558	159	48,8024	159	29,8904	159	34,2918	159	14,8001	
160	49,892	160	48,7751	160	29,8081	160	34,2834	160	14,8153	
161	49,8513	161	48,7547	161	29,8725	161	34,3124	161	14,81	
162	49,792	162	48,7628	162	29,8394	162	34,2326	162	14,7841	
163	49,7492	163	48,7928	163	29,8895	163	34,2671	163	14,835	
164	49,6748	164	48,7102	164	29,8164	164	34,2084	164	14,7928	
165	49,7001	165	48,7016	165	29,779	165	34,1706	165	14,8058	
166	49,5889	166	48,6905	166	29,7762	166	34,1299	166	14,7968	
167	49,5534	167	48,6412	167	29,7214	167	34,1526	167	14,7828	
168	49,4645	168	48,6077	168	29,8266	168	34,151	168	14,794	
169	49,4536	169	48,5202	169	29,6398	169	34,0465	169	14,7801	
170	49,4892	170	48,5119	170	29,7052	170	34,0526	170	14,7945	
171	49,5517	171	48,4765	171	29,751	171	34,0964	171	14,7899	
172	49,3737	172	48,4403	172	29,6596	172	34,0822	172	14,7598	
173	49,1513	173	48,4143	173	29,7974	173	34,0142	173	14,7917	
174	49,087	174	48,3739	174	29,5978	174	33,9681	174	14,7567	
175	49,0709	175	48,3601	175	29,7263	175	33,9655	175	14,804	
176	48,9916	176	48,2995	176	29,5274	176	33,943	176	14,7349	
177	49,1049	177	48,2435	177	29,5448	177	33,9177	177	14,7559	
178	49,1393	178	48,1839	178	29,7433	178	33,8704	178	14,7664	
179	49,1727	179	48,1651	179	29,6947	179	33,9152	179	14,7724	
180	48,9763	180	48,0855	180	29,5973	180	33,8894	180	14,7938	
