Time - Flow1	Amplitude - Flow1	Time - Flow2	Amplitude - Flow2	
0	0	0	0	
1	0	1	8	
2	0	2	9	
3	0	3	9	
4	2	4	9	
5	3	5	9	
6	3	6	9	
7	5	7	8	
8	5	8	9	
9	5	9	9	
10	6	10	9	
11	6	11	9	
12	7	12	9	
13	7	13	8	
14	8	14	9	
15	8	15	9	
16	8	16	9	
17	8	17	9	
18	8	18	9	
19	9	19	8	
20	9	20	9	
21	9	21	9	
22	9	22	9	
23	8	23	9	
24	9	24	9	
25	9	25	8	
26	9	26	9	
27	9	27	9	
28	8	28	9	
29	9	29	9	
30	9	30	9	
31	9	31	8	
32	9	32	9	
33	9	33	9	
34	9	34	9	
35	8	35	9	
36	9	36	9	
37	9	37	8	
38	9	38	9	
39	9	39	9	
40	9	40	9	
41	9	41	9	
42	9	42	9	
43	8	43	8	
44	9	44	9	
45	9	45	9	
46	9	46	9	
47	9	47	9	
48	9	48	9	
49	9	49	9	
50	9	50	8	
51	9	51	9	
52	9	52	9	
53	8	53	9	
54	9	54	9	
55	9	55	9	
56	9	56	8	
57	9	57	9	
58	9	58	9	
59	9	59	9	
60	9	60	9	
61	9	61	9	
62	9	62	9	
63	9	63	8	
64	8	64	9	
65	10	65	9	
66	8	66	9	
67	9	67	9	
68	9	68	9	
69	9	69	8	
70	9	70	9	
71	9	71	9	
72	9	72	9	
73	9	73	9	
74	9	74	9	
75	9	75	8	
76	8	76	9	
77	9	77	9	
78	9	78	9	
79	9	79	9	
80	9	80	9	
81	9	81	9	
82	9	82	8	
83	9	83	9	
84	9	84	9	
85	9	85	9	
86	9	86	9	
87	9	87	9	
88	9	88	9	
89	9	89	8	
90	9	90	9	
91	8	91	9	
92	9	92	9	
93	9	93	9	
94	9	94	9	
95	9	95	9	
96	9	96	8	
97	9	97	9	
98	9	98	9	
99	9	99	9	
100	9	100	9	
101	9	101	9	
102	8	102	9	
103	9	103	9	
104	9	104	8	
105	9	105	9	
106	9	106	9	
107	9	107	9	
108	9	108	9	
109	9	109	8	
110	8	110	9	
111	9	111	9	
112	9	112	9	
113	9	113	9	
114	9	114	9	
115	9	115	9	
116	9	116	8	
117	9	117	9	
118	9	118	9	
119	9	119	9	
120	8	120	9	
121	9	121	9	
122	9	122	8	
123	9	123	9	
124	9	124	9	
125	9	125	9	
126	9	126	9	
127	9	127	9	
128	9	128	9	
129	9	129	8	
130	9	130	9	
131	8	131	9	
132	9	132	9	
133	9	133	9	
134	9	134	9	
135	9	135	8	
136	9	136	9	
137	9	137	9	
138	9	138	9	
139	9	139	9	
140	8	140	9	
141	9	141	9	
142	9	142	8	
143	9	143	9	
144	9	144	9	
145	9	145	9	
146	9	146	9	
147	9	147	9	
148	8	148	9	
149	9	149	8	
150	9	150	9	
151	9	151	9	
152	9	152	9	
