Time - Q1	Amplitude - Q1	Time - Q2	Amplitude - Q2	
0	0	0	0	
1	0	1	1,44341	
2	0	2	1,58068	
3	0	3	1,65973	
4	1,27168	4	1,75314	
5	8,93979	5	1,32205	
6	11,9253	6	1,94718	
7	34,5511	7	3,11018	
8	63,2361	8	6,11391	
9	97,0573	9	9,19534	
10	143,402	10	14,883	
11	153,821	11	19,3058	
12	194,238	12	25,2064	
13	206,91	13	36,8454	
14	245,59	14	51,5463	
15	244,909	15	68,4499	
16	247,448	16	78,9047	
17	247,766	17	89,1452	
18	246,483	18	105,877	
19	284,709	19	106,531	
20	284,094	20	132,542	
21	293,945	21	144,102	
22	298,506	22	153,796	
23	269,955	23	169,834	
24	309,765	24	178,358	
25	311,606	25	165,08	
26	311,432	26	200,223	
27	314,352	27	209,565	
28	285,025	28	215,533	
29	323,655	29	226,805	
30	322,958	30	231,924	
31	328,16	31	215,575	
32	324,433	32	248,669	
33	324,555	33	253,712	
34	331,007	34	261,765	
35	290,516	35	267,489	
36	324,224	36	273,028	
37	326,15	37	245,183	
38	323,371	38	281,302	
39	330,017	39	285,852	
40	325,858	40	290,947	
41	325,547	41	293,839	
42	325,59	42	297,04	
43	290,172	43	265,417	
44	325,72	44	303,015	
45	328,297	45	304,83	
46	325,412	46	304,932	
47	327,112	47	309,766	
48	326,381	48	312,117	
49	325,766	49	313,933	
50	327,826	50	281,21	
51	323,777	51	318,268	
52	326,329	52	318,212	
53	290,217	53	322,715	
54	326,246	54	323,204	
55	328,082	55	325,995	
56	328,872	56	291,325	
57	327,91	57	327,997	
58	329,276	58	327,982	
59	328,416	59	330,53	
60	328,6	60	330,949	
61	328,605	61	332,081	
62	327,658	62	331,7	
63	327,646	63	297,187	
64	290,08	64	334,724	
65	363,249	65	335,711	
66	291,97	66	336,688	
67	329,073	67	336,416	
68	327,992	68	337,41	
69	328,041	69	300,848	
70	326,323	70	338,213	
71	327,319	71	339,234	
72	328,159	72	338,682	
73	327,375	73	340,555	
74	328,902	74	340,365	
75	328,167	75	303,3	
76	292,346	76	341,722	
77	327,218	77	342,038	
78	327,339	78	341,844	
79	327,631	79	343,319	
80	328,613	80	342,96	
81	329,1	81	342,674	
82	329,728	82	305,556	
83	328,333	83	344,348	
84	328,527	84	344,444	
85	328,899	85	345,124	
86	327,459	86	346,701	
87	328,575	87	346,455	
88	327,796	88	346,132	
89	328,544	89	308,297	
90	326,903	90	347,004	
91	292,564	91	346,622	
92	328,36	92	346,659	
93	327,006	93	346,911	
94	326,018	94	347,267	
95	325,82	95	346,913	
96	326,184	96	308,881	
97	326,399	97	347,248	
98	327,648	98	346,83	
99	326,276	99	348,053	
100	327,562	100	347,648	
101	326,777	101	348,102	
102	291,419	102	347,853	
103	328,292	103	348,32	
104	326,91	104	309,311	
105	327,544	105	348,243	
106	326,145	106	348,953	
107	326,926	107	348,006	
108	324,823	108	348,425	
109	326,323	109	309,864	
110	288,457	110	349,126	
111	324,354	111	349,425	
112	325,052	112	347,715	
113	325,352	113	348,184	
114	324,658	114	348,127	
115	324,857	115	348,833	
116	324,628	116	309,395	
117	325,802	117	347,338	
118	323,606	118	347,445	
119	326,018	119	347,334	
120	288,366	120	346,907	
121	324,783	121	347,57	
122	324,161	122	309,535	
123	322,677	123	348,01	
124	323,32	124	348,329	
125	323,129	125	346,995	
126	323,905	126	348,207	
127	322,115	127	347,765	
128	323,162	128	347,767	
129	322,715	129	308,392	
130	322,424	130	347,154	
131	286,826	131	347,501	
132	321,224	132	346,951	
133	320,644	133	347,378	
134	322,194	134	347,22	
135	321,397	135	308,54	
136	322,204	136	347,279	
137	320,931	137	347,633	
138	321,013	138	346,417	
139	321,63	139	346,216	
140	285,661	140	346,073	
141	321,373	141	345,69	
142	321,59	142	307,26	
143	320,499	143	345,077	
144	319,047	144	345,469	
145	318,275	145	345,869	
