Time - T1	Amplitude - T1	Time - T2	Amplitude - T2	Time - T3	Amplitude - T3	Time - T4	Amplitude - T4	Time - T5	Amplitude - T5	
0	60,7062	0	16,8453	0	17,4977	0	13,1625	0	13,0767	
1	60,2378	1	16,8024	1	17,4696	1	13,1529	1	13,0451	
2	61,0878	2	16,8765	2	17,5047	2	13,1939	2	13,089	
3	60,6219	3	16,8659	3	17,5046	3	13,1827	3	13,0726	
4	60,3877	4	17,8215	4	17,4416	4	13,184	4	13,0676	
5	60,4278	5	18,9966	5	17,2164	5	13,1532	5	13,0654	
6	60,3225	6	19,2934	6	16,9188	6	13,1485	6	13,0192	
7	60,1864	7	19,7577	7	15,6297	7	13,3059	7	13,0737	
8	60,0606	8	22,3987	8	14,8436	8	13,4634	8	13,0576	
9	60,1256	9	25,4724	9	13,8765	9	13,6806	9	13,0703	
10	59,9815	10	28,0228	10	13,7454	10	14,0738	10	13,086	
11	60,0544	11	28,9814	11	13,6667	11	14,3683	11	13,0869	
12	60,0446	12	30,2864	12	13,7104	12	14,7579	12	13,0848	
13	60,0539	13	31,7453	13	14,0879	13	15,788	13	13,0367	
14	60,0389	14	32,6455	14	14,3069	14	16,4754	14	13,0541	
15	60,0202	15	33,8111	15	15,5234	15	17,5911	15	13,0478	
16	59,8363	16	34,6995	16	16,2222	16	18,276	16	13,0387	
17	59,8812	17	35,2967	17	16,7956	17	18,9639	17	13,0469	
18	59,98	18	36,4671	18	18,0619	18	20,1046	18	13,0771	
19	59,9708	19	37,2471	19	18,3497	19	21,0051	19	13,0502	
20	59,8789	20	38,3096	20	19,453	20	21,8445	20	13,047	
21	59,62	21	39,7538	21	20,2433	21	22,6005	21	13,0358	
22	59,5872	22	40,5524	22	20,7392	22	23,2704	22	13,0622	
23	59,6938	23	41,6208	23	21,4628	23	24,3323	23	13,0597	
24	59,9766	24	42,4324	24	21,8718	24	24,8829	24	13,0445	
25	59,7152	25	43,0813	25	22,3986	25	25,4234	25	13,0967	
26	59,2299	26	43,9359	26	23,2647	26	26,3301	26	13,0403	
27	59,3303	27	44,4896	27	23,6246	27	26,9667	27	13,0569	
28	59,1655	28	45,0941	28	23,8109	28	27,3528	28	13,0468	
29	58,8706	29	45,7622	29	24,2797	29	28,1045	29	13,0504	
30	58,9268	30	46,1962	30	24,76	30	28,4249	30	13,031	
31	58,9249	31	46,7082	31	24,9266	31	29,1864	31	13,0891	
32	59,0079	32	46,9708	32	25,4366	32	29,5848	32	13,0795	
33	58,8004	33	47,4568	33	25,9146	33	29,8935	33	13,0535	
34	57,8905	34	47,9071	34	25,9366	34	30,4579	34	13,0833	
35	57,5788	35	48,0655	35	26,3722	35	30,8193	35	13,0648	
36	58,1694	36	48,2792	36	26,759	36	31,1997	36	13,0776	
37	57,829	37	48,5238	37	26,8757	37	31,3794	37	13,0712	
38	57,6739	38	48,8543	38	27,3907	38	31,7546	38	13,0833	
39	57,4184	39	49,0549	39	27,1501	39	32,0741	39	13,1008	
40	57,3133	40	49,2949	40	27,6662	40	32,4175	40	13,106	
41	57,3282	41	49,4143	41	27,8062	41	32,6315	41	13,1281	
42	57,2645	42	49,637	42	28,0261	42	32,8138	42	13,0979	
43	57,4743	43	49,755	43	28,0874	43	32,9151	43	13,096	
44	57,3069	44	49,9056	44	28,2861	44	33,1851	44	13,0726	
45	57,378	45	50,0493	45	28,2587	45	33,3317	45	13,0987	
46	57,0118	46	50,1914	46	28,5923	46	33,3526	46	13,1129	
47	56,8997	47	50,4	47	28,6881	47	33,656	47	13,0954	
48	57,2268	48	50,5046	48	28,8412	48	33,8084	48	13,0917	
49	57,5893	49	50,5715	49	28,9489	49	33,9221	49	13,0849	
50	57,1348	50	50,6596	50	28,9003	50	34,0826	50	13,0843	
51	57,3303	51	50,7895	51	29,2989	51	34,2003	51	13,0754	
52	57,4442	52	50,8163	52	29,1564	52	34,2228	52	13,1016	
53	57,2077	53	50,9602	53	29,2893	53	34,5133	53	13,0933	
54	56,984	54	51,0867	54	29,4322	54	34,5371	54	13,0846	
55	57,2591	55	51,1873	55	29,411	55	34,7018	55	13,064	
56	57,0319	56	51,2766	56	29,4479	56	34,8551	56	13,1014	
57	57,0902	57	51,271	57	29,5062	57	34,8634	57	13,0928	
