Time - Plot 0	Pulses/s - Plot 0	Time - Plot 1	Pulses/s - Plot 1	
0	0	0	0	
1	0	1	0	
2	0	2	0	
3	0	3	0	
4	0	4	0	
5	0	5	0	
6	0	6	0	
7	0	7	0	
8	0	8	0	
9	0	9	0	
10	0	10	0	
11	0	11	0	
12	0	12	0	
13	0	13	0	
14	0	14	0	
15	0	15	0	
16	0	16	0	
17	0	17	0	
18	0	18	0	
19	0	19	0	
20	0	20	0	
21	0	21	0	
22	0	22	0	
23	0	23	0	
24	0	24	0	
25	0	25	0	
26	0	26	0	
27	0	27	0	
28	0	28	0	
29	0	29	0	
30	0	30	0	
31	0	31	0	
32	0	32	0	
33	0	33	0	
34	0	34	0	
35	0	35	0	
36	0	36	0	
37	0	37	0	
38	0	38	0	
39	0	39	0	
40	0	40	0	
41	0	41	0	
42	0	42	0	
43	0	43	0	
44	0	44	0	
45	1	45	0	
46	0	46	0	
47	1	47	0	
48	1	48	0	
49	2	49	0	
50	2	50	0	
51	3	51	0	
52	2	52	0	
53	3	53	0	
54	4	54	0	
55	3	55	0	
56	4	56	0	
57	4	57	0	
58	5	58	0	
59	4	59	0	
60	5	60	0	
61	6	61	0	
62	6	62	0	
63	6	63	0	
64	7	64	0	
65	7	65	0	
66	8	66	0	
67	8	67	0	
68	8	68	0	
69	9	69	0	
70	10	70	0	
71	9	71	0	
72	10	72	0	
73	10	73	0	
74	10	74	0	
75	9	75	0	
76	10	76	0	
77	10	77	0	
78	9	78	0	
79	10	79	0	
80	10	80	0	
81	10	81	0	
82	9	82	0	
83	10	83	0	
84	10	84	0	
85	10	85	0	
86	9	86	1	
87	10	87	4	
88	10	88	6	
89	9	89	5	
90	10	90	6	
91	10	91	7	
92	10	92	6	
93	9	93	7	
94	10	94	6	
95	10	95	7	
96	10	96	7	
97	9	97	7	
98	10	98	7	
99	10	99	7	
100	10	100	8	
101	10	101	7	
102	10	102	8	
103	9	103	8	
104	10	104	9	
105	10	105	10	
106	10	106	10	
107	10	107	10	
108	10	108	10	
109	9	109	9	
110	10	110	10	
111	10	111	10	
112	10	112	10	
113	10	113	10	
114	10	114	9	
115	10	115	10	
116	10	116	10	
117	9	117	10	
118	10	118	10	
119	10	119	10	
120	10	120	9	
121	10	121	10	
122	10	122	10	
123	10	123	10	
124	10	124	10	
125	9	125	9	
126	10	126	10	
127	10	127	10	
128	10	128	10	
129	10	129	10	
130	10	130	10	
131	10	131	9	
132	10	132	10	
133	10	133	10	
134	9	134	10	
135	10	135	9	
136	10	136	10	
137	10	137	10	
138	10	138	10	
139	10	139	10	
140	10	140	9	
141	10	141	10	
142	10	142	10	
143	10	143	10	
144	10	144	10	
145	10	145	9	
146	10	146	10	
147	10	147	10	
148	10	148	10	
149	10	149	9	
150	11	150	10	
151	10	151	10	
152	10	152	10	
153	10	153	10	
154	10	154	9	
155	10	155	10	
156	10	156	10	
157	10	157	10	
158	10	158	9	
159	10	159	10	
160	10	160	10	
161	10	161	10	
162	10	162	9	
163	10	163	10	
164	11	164	10	
165	10	165	10	
166	10	166	9	
167	10	167	10	
168	10	168	10	
169	10	169	10	
170	10	170	9	
171	10	171	10	
172	10	172	10	
173	10	173	10	
174	10	174	9	
175	10	175	10	
176	11	176	10	
177	10	177	10	
178	10	178	9	
179	10	179	10	
180	10	180	10	
181	10	181	10	
182	10	182	9	
183	10	183	10	
184	10	184	10	
185	10	185	10	
186	11	186	9	
187	10	187	10	
188	10	188	10	
189	10	189	10	
190	10	190	9	
191	10	191	10	
192	10	192	10	
193	10	193	10	
194	10	194	9	
195	10	195	10	
196	11	196	10	
197	10	197	10	
198	10	198	9	
199	10	199	10	
200	10	200	10	
201	10	201	10	
202	10	202	9	
203	10	203	10	
204	10	204	10	
205	10	205	10	
206	10	206	9	
207	10	207	10	
208	10	208	10	
209	11	209	10	
210	10	210	10	
211	10	211	9	
212	10	212	10	
213	10	213	10	
214	10	214	10	
215	10	215	10	
216	10	216	9	
217	10	217	10	
218	10	218	10	
219	10	219	9	
220	10	220	10	
221	10	221	10	
222	10	222	10	
223	10	223	10	
224	11	224	9	
225	10	225	10	
226	10	226	10	
227	10	227	10	
228	10	228	9	
229	10	229	10	
230	10	230	10	
231	10	231	10	
232	10	232	9	
233	10	233	10	
234	10	234	10	
235	11	235	10	
236	10	236	9	
237	10	237	10	
238	10	238	10	
239	10	239	10	
240	10	240	10	
241	10	241	10	
242	11	242	10	
243	10	243	11	
244	10	244	10	
245	10	245	10	
246	10	246	10	
247	10	247	10	
248	10	248	11	
249	10	249	10	
250	10	250	10	
251	11	251	11	
252	10	252	10	
253	10	253	11	
254	10	254	10	
255	10	255	10	
256	10	256	11	
257	10	257	10	
258	10	258	10	
259	11	259	11	
260	10	260	10	
261	10	261	10	
262	10	262	11	
263	10	263	10	
264	10	264	10	
265	10	265	11	
266	10	266	10	
267	10	267	10	
268	10	268	11	
269	10	269	10	
270	11	270	10	
271	10	271	10	
272	10	272	11	
273	10	273	10	
274	10	274	10	
275	10	275	11	
276	10	276	10	
277	10	277	10	
278	10	278	11	
279	10	279	10	
280	11	280	10	
281	10	281	11	
282	10	282	10	
283	10	283	10	
284	10	284	10	
285	10	285	11	
286	10	286	10	
287	10	287	10	
288	10	288	11	
289	11	289	10	
290	10	290	10	
291	9	291	10	
292	11	292	11	
293	10	293	10	
294	10	294	10	
295	10	295	11	
296	10	296	10	
297	10	297	10	
298	10	298	11	
299	10	299	10	
300	10	300	10	
301	10	301	11	
302	10	302	10	
303	10	303	10	
304	10	304	10	
305	10	305	11	
306	10	306	10	
307	11	307	10	
308	10	308	11	
309	10	309	10	
310	10	310	10	
311	10	311	11	
312	10	312	10	
313	10	313	10	
314	10	314	10	
315	10	315	11	
316	10	316	10	
317	10	317	11	
318	10	318	10	
319	10	319	10	
320	10	320	10	
321	10	321	11	
322	11	322	10	
323	10	323	10	
324	10	324	11	
325	10	325	10	
326	10	326	10	
327	10	327	10	
328	10	328	11	
329	10	329	10	
330	10	330	10	
331	10	331	11	
332	10	332	10	
333	10	333	10	
334	10	334	11	
335	11	335	10	
336	10	336	10	
337	10	337	10	
338	10	338	11	
339	10	339	10	
340	10	340	10	
341	10	341	11	
342	10	342	10	
343	10	343	10	
344	10	344	11	
345	10	345	10	
346	10	346	10	
347	10	347	10	
348	10	348	11	
349	10	349	10	
350	10	350	10	
351	11	351	11	
352	10	352	10	
353	10	353	10	
354	10	354	10	
355	10	355	11	
356	10	356	10	
357	10	357	10	
358	10	358	11	
359	10	359	10	
360	10	360	10	
361	10	361	11	
362	10	362	10	
363	10	363	10	
364	10	364	11	
365	10	365	10	
366	10	366	10	
367	10	367	11	
368	10	368	10	
369	11	369	10	
370	10	370	10	
371	10	371	11	
372	10	372	10	
373	10	373	10	
374	10	374	11	
375	10	375	10	
376	10	376	10	
377	10	377	11	
378	10	378	10	
379	10	379	10	
380	10	380	10	
381	10	381	11	
382	10	382	10	
383	10	383	10	
384	10	384	11	
385	10	385	10	
386	10	386	10	
387	10	387	11	
388	10	388	10	
389	10	389	10	
390	10	390	10	
391	10	391	11	
392	10	392	10	
393	10	393	10	
394	10	394	11	
395	10	395	10	
396	10	396	10	
397	11	397	10	
398	10	398	11	
399	9	399	10	
400	10	400	10	
401	10	401	11	
402	10	402	10	
403	10	403	10	
404	10	404	10	
405	10	405	11	
406	10	406	10	
407	10	407	10	
408	10	408	11	
409	11	409	10	
410	10	410	10	
411	10	411	11	
412	10	412	10	
413	10	413	10	
414	10	414	11	
415	10	415	10	
416	10	416	10	
417	10	417	10	
418	10	418	11	
419	9	419	10	
420	11	420	10	
421	9	421	11	
422	10	422	10	
423	10	423	10	
424	10	424	10	
425	10	425	11	
426	10	426	10	
427	10	427	10	
428	10	428	11	
429	10	429	10	
430	10	430	10	
431	10	431	10	
432	10	432	11	
433	10	433	10	
434	10	434	10	
435	10	435	11	
436	10	436	10	
437	10	437	10	
438	10	438	10	
439	10	439	11	
440	10	440	10	
441	10	441	10	
442	10	442	11	
443	10	443	10	
444	11	444	10	
445	9	445	11	
446	11	446	10	
447	10	447	10	
448	10	448	11	
449	9	449	10	
450	11	450	10	
451	9	451	10	
452	10	452	11	
453	10	453	10	
454	10	454	10	
455	10	455	10	
456	10	456	11	
457	10	457	10	
458	10	458	10	
459	10	459	11	
460	10	460	10	
461	10	461	10	
462	10	462	11	
463	10	463	10	
464	10	464	11	
465	10	465	10	
466	10	466	11	
467	10	467	10	
468	10	468	10	
469	10	469	11	
470	10	470	10	
471	10	471	11	
472	10	472	10	
473	10	473	11	
474	10	474	11	
475	10	475	10	
476	10	476	11	
477	10	477	11	
478	10	478	10	
479	10	479	11	
480	10	480	11	
481	10	481	10	
482	10	482	11	
483	10	483	10	
484	10	484	11	
485	10	485	11	
486	10	486	10	
487	10	487	11	
488	10	488	11	
489	10	489	10	
490	10	490	11	
491	10	491	11	
492	10	492	10	
493	10	493	11	
494	10	494	11	
495	10	495	10	
496	10	496	11	
497	10	497	11	
498	10	498	10	
499	10	499	11	
500	9	500	11	
501	10	501	11	
502	10	502	10	
503	10	503	11	
504	10	504	11	
505	10	505	11	
506	10	506	10	
507	10	507	11	
508	10	508	11	
509	10	509	11	
510	10	510	10	
511	10	511	11	
512	10	512	11	
513	10	513	11	
514	10	514	10	
515	10	515	11	
516	10	516	11	
517	10	517	10	
518	10	518	11	
519	10	519	10	
520	10	520	11	
521	10	521	11	
522	10	522	10	
523	10	523	11	
524	10	524	11	
525	10	525	10	
526	10	526	11	
527	10	527	11	
528	10	528	10	
529	10	529	11	
530	10	530	11	
531	10	531	10	
532	10	532	11	
533	10	533	11	
534	10	534	10	
535	10	535	11	
536	9	536	11	
537	10	537	10	
538	10	538	11	
539	10	539	11	
540	10	540	10	
541	10	541	11	
542	10	542	11	
543	10	543	10	
544	10	544	11	
545	10	545	11	
546	10	546	10	
547	10	547	11	
548	10	548	10	
549	10	549	11	
550	10	550	11	
551	10	551	11	
552	9	552	10	
553	10	553	11	
554	10	554	11	
555	10	555	11	
556	10	556	10	
557	10	557	11	
558	10	558	11	
559	10	559	11	
560	10	560	10	
561	10	561	11	
562	10	562	11	
563	10	563	11	
564	10	564	10	
565	10	565	11	
566	10	566	11	
567	10	567	11	
568	9	568	10	
569	10	569	11	
570	10	570	11	
571	10	571	11	
572	10	572	10	
573	10	573	11	
574	10	574	11	
575	10	575	10	
576	10	576	11	
577	10	577	11	
578	10	578	11	
579	10	579	10	
580	10	580	11	
581	10	581	11	
582	10	582	11	
583	10	583	10	
584	10	584	11	
585	9	585	11	
586	10	586	10	
587	10	587	11	
588	10	588	11	
589	10	589	11	
590	10	590	10	
591	10	591	11	
592	10	592	11	
593	10	593	11	
594	10	594	10	
595	10	595	11	
596	10	596	11	
597	10	597	11	
598	10	598	10	
599	10	599	11	
600	10	600	11	
601	10	601	10	
602	10	602	11	
603	9	603	11	
604	10	604	11	
605	10	605	10	
606	10	606	11	
607	10	607	11	
608	10	608	11	
609	10	609	10	
610	10	610	11	
611	10	611	11	
612	10	612	11	
613	10	613	10	
614	10	614	11	
615	10	615	11	
616	10	616	11	
617	10	617	10	
618	10	618	11	
619	9	619	11	
620	10	620	11	
621	10	621	10	
622	10	622	11	
623	10	623	11	
624	10	624	11	
625	10	625	10	
626	10	626	11	
627	10	627	11	
628	10	628	11	
629	9	629	10	
630	10	630	11	
631	10	631	11	
632	10	632	11	
633	10	633	10	
634	10	634	11	
635	10	635	11	
636	10	636	11	
637	10	637	11	
638	10	638	10	
639	10	639	11	
640	10	640	11	
641	9	641	11	
642	10	642	11	
643	10	643	11	
644	10	644	11	
645	10	645	11	
646	10	646	11	
647	10	647	11	
648	10	648	11	
649	10	649	11	
650	9	650	11	
651	10	651	10	
652	10	652	11	
653	10	653	11	
654	10	654	11	
655	10	655	11	
656	10	656	11	
657	10	657	11	
658	10	658	11	
659	10	659	11	
660	9	660	11	
661	10	661	11	
662	10	662	11	
663	10	663	11	
664	10	664	11	
665	10	665	11	
666	10	666	11	
667	10	667	11	
668	10	668	11	
669	9	669	10	
670	10	670	11	
671	10	671	11	
672	10	672	11	
673	10	673	11	
674	10	674	11	
675	10	675	11	
676	10	676	11	
677	9	677	11	
678	10	678	11	
679	10	679	11	
680	10	680	11	
681	10	681	11	
682	10	682	11	
683	10	683	11	
684	10	684	11	
685	10	685	11	
686	10	686	11	
687	10	687	11	
688	9	688	10	
689	10	689	11	
690	10	690	11	
691	10	691	11	
692	10	692	11	
693	10	693	11	
694	10	694	11	
695	9	695	11	
696	10	696	11	
697	10	697	11	
698	10	698	11	
699	10	699	11	
700	10	700	11	
701	10	701	11	
702	10	702	11	
703	9	703	11	
704	10	704	11	
705	10	705	11	
706	10	706	11	
707	10	707	11	
708	10	708	11	
709	10	709	11	
710	9	710	11	
711	10	711	11	
712	10	712	11	
713	10	713	10	
714	10	714	11	
715	10	715	11	
716	10	716	11	
717	9	717	11	
718	10	718	11	
719	10	719	11	
720	10	720	11	
721	10	721	11	
722	10	722	11	
723	10	723	11	
724	10	724	11	
725	9	725	11	
726	10	726	11	
727	10	727	11	
728	10	728	11	
729	10	729	11	
730	10	730	11	
731	10	731	11	
732	9	732	11	
733	10	733	10	
734	10	734	11	
735	10	735	11	
736	10	736	11	
737	10	737	11	
738	9	738	11	
739	10	739	11	
740	10	740	11	
741	10	741	11	
742	10	742	11	
743	10	743	11	
744	10	744	11	
745	9	745	11	
746	10	746	11	
747	10	747	11	
748	10	748	11	
749	10	749	11	
750	10	750	10	
751	9	751	11	
752	10	752	11	
753	10	753	11	
754	10	754	11	
755	10	755	11	
756	10	756	11	
757	9	757	11	
758	10	758	11	
759	10	759	11	
760	10	760	11	
761	10	761	11	
762	10	762	11	
763	10	763	11	
764	9	764	11	
765	10	765	11	
766	10	766	11	
767	10	767	11	
768	10	768	10	
769	10	769	11	
770	9	770	11	
771	10	771	11	
772	10	772	11	
773	10	773	11	
774	10	774	11	
775	10	775	11	
