Time - Plot 0	Pulses/s - Plot 0	Time - Plot 1	Pulses/s - Plot 1	
0	0	0	0	
1	0	1	0	
2	0	2	0	
3	0	3	0	
4	0	4	0	
5	1	5	0	
6	2	6	0	
7	3	7	0	
8	3	8	0	
9	5	9	0	
10	4	10	0	
11	5	11	0	
12	6	12	0	
13	6	13	0	
14	7	14	0	
15	7	15	0	
16	7	16	0	
17	8	17	1	
18	7	18	5	
19	7	19	8	
20	8	20	9	
21	7	21	9	
22	7	22	9	
23	8	23	9	
24	7	24	10	
25	7	25	10	
26	8	26	10	
27	7	27	10	
28	8	28	11	
29	9	29	10	
30	9	30	10	
31	10	31	11	
32	11	32	10	
33	10	33	10	
34	10	34	10	
35	11	35	10	
36	10	36	10	
37	11	37	10	
38	10	38	10	
39	10	39	10	
40	10	40	10	
41	9	41	10	
42	9	42	10	
43	10	43	10	
44	9	44	10	
45	10	45	10	
46	10	46	10	
47	11	47	10	
48	10	48	10	
49	11	49	10	
50	10	50	10	
51	10	51	10	
52	10	52	10	
53	10	53	9	
54	10	54	10	
55	11	55	10	
56	10	56	10	
57	10	57	10	
58	10	58	10	
59	10	59	10	
60	11	60	10	
61	10	61	10	
62	10	62	10	
63	10	63	10	
64	10	64	10	
65	11	65	9	
66	10	66	10	
67	10	67	10	
68	10	68	10	
69	11	69	10	
70	10	70	10	
71	10	71	10	
72	10	72	10	
73	11	73	10	
74	10	74	10	
75	10	75	10	
76	10	76	10	
77	10	77	10	
78	11	78	10	
79	10	79	9	
80	10	80	10	
81	11	81	10	
82	10	82	10	
83	10	83	10	
84	10	84	10	
85	11	85	10	
86	10	86	10	
87	10	87	10	
88	10	88	10	
89	11	89	10	
90	10	90	10	
91	10	91	10	
92	10	92	9	
93	11	93	10	
94	10	94	10	
95	10	95	10	
96	11	96	10	
97	10	97	10	
98	9	98	10	
99	9	99	10	
100	9	100	10	
101	10	101	10	
102	9	102	10	
103	9	103	10	
104	9	104	10	
105	9	105	9	
106	9	106	10	
107	10	107	10	
108	9	108	10	
109	9	109	10	
110	9	110	10	
111	10	111	10	
112	9	112	10	
113	10	113	10	
114	9	114	10	
115	10	115	10	
116	10	116	10	
117	9	117	10	
118	10	118	9	
119	9	119	10	
120	9	120	10	
121	10	121	10	
122	9	122	10	
123	10	123	10	
124	10	124	10	
125	9	125	10	
126	10	126	10	
127	10	127	10	
128	9	128	10	
129	10	129	10	
130	9	130	10	
131	10	131	10	
132	9	132	9	
133	10	133	10	
134	9	134	10	
135	9	135	10	
136	10	136	10	
137	9	137	10	
138	10	138	10	
139	9	139	10	
140	10	140	10	
141	9	141	10	
142	10	142	10	
143	9	143	10	
144	9	144	9	
145	10	145	10	
146	9	146	10	
147	10	147	10	
148	9	148	10	
149	9	149	10	
150	10	150	10	
151	9	151	10	
152	10	152	10	
153	9	153	10	
154	10	154	10	
155	9	155	10	
156	10	156	10	
157	9	157	9	
158	9	158	10	
159	10	159	10	
160	9	160	10	
161	10	161	10	
162	9	162	10	
163	9	163	10	
164	10	164	10	
165	9	165	10	
166	10	166	10	
167	9	167	10	
168	10	168	10	
169	9	169	10	
170	10	170	10	
171	9	171	10	
172	9	172	9	
173	10	173	10	
174	9	174	10	
175	9	175	10	
176	10	176	10	
177	9	177	10	
178	9	178	10	
179	10	179	10	
180	9	180	10	
181	10	181	10	
182	9	182	10	
183	9	183	10	
184	9	184	10	
185	10	185	10	
186	9	186	9	
187	9	187	10	
188	10	188	10	
189	9	189	10	
190	10	190	10	
191	9	191	10	
192	9	192	10	
193	9	193	10	
194	9	194	10	
195	9	195	10	
196	10	196	10	
197	9	197	10	
198	9	198	10	
199	9	199	10	
200	10	200	9	
201	9	201	10	
202	9	202	10	
203	9	203	10	
204	10	204	10	
205	9	205	10	
206	9	206	10	
207	10	207	10	
208	9	208	10	
209	9	209	10	
210	10	210	10	
211	10	211	10	
212	10	212	10	
213	9	213	10	
214	10	214	10	
215	10	215	10	
216	10	216	10	
217	10	217	10	
218	11	218	10	
219	10	219	10	
220	10	220	10	
221	10	221	10	
222	11	222	9	
223	10	223	10	
224	10	224	10	
225	11	225	10	
226	10	226	10	
227	10	227	10	
228	10	228	10	
229	11	229	10	
230	10	230	10	
231	10	231	10	
232	10	232	10	
233	11	233	10	
234	10	234	10	
235	10	235	10	
236	10	236	10	
237	11	237	9	
238	10	238	10	
239	10	239	10	
240	10	240	10	
241	11	241	10	
242	10	242	10	
243	10	243	10	
244	10	244	10	
245	11	245	10	
246	10	246	10	
247	10	247	10	
248	10	248	10	
249	11	249	10	
250	10	250	10	
251	10	251	10	
252	10	252	10	
253	11	253	9	
254	10	254	10	
255	10	255	10	
256	10	256	10	
257	11	257	10	
258	10	258	10	
259	10	259	10	
260	10	260	10	
261	10	261	10	
262	11	262	10	
263	10	263	10	
264	10	264	10	
265	10	265	10	
266	11	266	10	
267	10	267	10	
268	10	268	10	
269	10	269	10	
270	11	270	9	
271	10	271	10	
272	10	272	10	
273	10	273	10	
274	10	274	10	
275	11	275	10	
276	10	276	10	
277	10	277	10	
278	10	278	10	
279	10	279	10	
280	11	280	10	
281	10	281	10	
282	10	282	10	
283	10	283	10	
284	10	284	10	
285	10	285	10	
286	11	286	10	
287	10	287	10	
288	10	288	9	
289	10	289	10	
290	10	290	10	
291	10	291	10	
292	10	292	10	
293	10	293	10	
294	10	294	10	
295	10	295	10	
296	10	296	10	
297	10	297	10	
298	10	298	10	
299	10	299	10	
300	10	300	10	
301	11	301	10	
302	10	302	10	
303	10	303	10	
304	10	304	10	
305	10	305	10	
306	10	306	10	
307	10	307	10	
308	10	308	10	
309	10	309	9	
310	10	310	10	
311	10	311	10	
312	10	312	10	
313	11	313	10	
314	10	314	10	
315	10	315	10	
316	10	316	10	
317	10	317	10	
318	10	318	10	
319	10	319	10	
320	10	320	10	
321	10	321	10	
322	10	322	10	
323	10	323	10	
324	10	324	10	
325	10	325	10	
326	10	326	10	
327	10	327	9	
328	10	328	10	
329	10	329	10	
330	11	330	10	
331	10	331	10	
332	10	332	10	
333	10	333	10	
334	10	334	10	
335	10	335	10	
336	10	336	10	
337	10	337	10	
338	10	338	10	
339	10	339	10	
340	10	340	10	
341	10	341	9	
342	10	342	10	
343	10	343	10	
344	11	344	10	
345	10	345	10	
346	10	346	10	
347	10	347	10	
348	10	348	10	
349	10	349	10	
350	10	350	10	
351	10	351	10	
352	10	352	10	
353	10	353	10	
354	10	354	10	
355	10	355	10	
356	10	356	10	
357	10	357	10	
358	10	358	9	
359	10	359	10	
360	10	360	10	
361	10	361	10	
362	10	362	10	
363	10	363	10	
364	10	364	10	
365	11	365	10	
366	10	366	10	
367	10	367	10	
368	10	368	10	
369	10	369	10	
370	10	370	9	
371	10	371	10	
372	10	372	10	
373	10	373	10	
374	10	374	10	
375	10	375	10	
376	10	376	10	
377	10	377	10	
378	10	378	10	
379	10	379	10	
380	10	380	10	
381	10	381	10	
382	10	382	10	
383	10	383	9	
384	10	384	10	
385	10	385	10	
386	10	386	10	
387	10	387	10	
388	10	388	10	
389	10	389	10	
390	10	390	10	
391	10	391	10	
392	11	392	10	
393	10	393	10	
394	10	394	10	
395	10	395	10	
396	10	396	10	
397	10	397	9	
398	10	398	10	
399	10	399	10	
400	10	400	10	
401	10	401	10	
402	10	402	10	
403	10	403	10	
404	10	404	10	
405	10	405	10	
406	10	406	10	
407	10	407	10	
408	10	408	10	
409	10	409	10	
410	10	410	10	
411	10	411	10	
412	10	412	10	
413	10	413	10	
414	10	414	10	
415	10	415	10	
416	10	416	9	
417	10	417	10	
418	10	418	10	
419	10	419	10	
420	10	420	10	
421	10	421	10	
422	10	422	10	
423	10	423	10	
424	10	424	10	
425	10	425	10	
426	10	426	10	
427	10	427	10	
428	10	428	10	
429	10	429	10	
430	10	430	9	
431	10	431	10	
432	10	432	10	
433	10	433	10	
434	10	434	10	
435	10	435	10	
436	10	436	10	
437	10	437	10	
438	10	438	10	
439	10	439	10	
440	10	440	10	
441	10	441	9	
442	10	442	10	
443	10	443	10	
444	10	444	10	
445	10	445	10	
446	10	446	10	
447	10	447	10	
448	10	448	10	
449	10	449	10	
450	10	450	10	
451	10	451	10	
452	10	452	10	
453	10	453	10	
454	10	454	10	
455	10	455	9	
456	10	456	10	
457	10	457	10	
458	10	458	10	
459	10	459	10	
460	10	460	10	
461	10	461	10	
462	10	462	10	
463	10	463	10	
464	10	464	10	
465	10	465	10	
466	10	466	10	
467	10	467	10	
468	10	468	10	
469	10	469	10	
470	10	470	10	
471	10	471	10	
472	10	472	9	
473	10	473	10	
474	10	474	10	
475	10	475	10	
476	10	476	10	
477	10	477	10	
478	10	478	10	
479	10	479	10	
480	10	480	10	
481	10	481	10	
482	10	482	10	
483	10	483	10	
484	10	484	10	
485	10	485	10	
486	9	486	10	
487	10	487	10	
488	10	488	10	
489	10	489	10	
490	10	490	9	
491	9	491	10	
492	10	492	10	
493	10	493	10	
494	10	494	10	
495	10	495	10	
496	10	496	10	
497	10	497	10	
498	9	498	10	
499	10	499	10	
500	10	500	10	
501	10	501	10	
502	10	502	10	
503	10	503	10	
504	9	504	10	
505	10	505	10	
506	10	506	10	
507	10	507	9	
508	10	508	10	
509	10	509	10	
510	9	510	10	
511	10	511	10	
512	10	512	10	
513	10	513	10	
514	10	514	10	
515	10	515	10	
516	9	516	10	
517	10	517	10	
518	10	518	10	
519	10	519	10	
520	10	520	10	
521	10	521	9	
522	9	522	10	
523	10	523	10	
524	10	524	10	
525	10	525	10	
526	10	526	10	
527	10	527	10	
528	9	528	10	
529	10	529	10	
530	10	530	10	
531	10	531	10	
532	10	532	10	
533	10	533	10	
534	9	534	10	
535	10	535	10	
536	10	536	10	
537	10	537	10	
538	10	538	10	
539	10	539	9	
540	10	540	10	
541	9	541	10	
542	10	542	10	
543	10	543	10	
544	10	544	10	
545	10	545	10	
546	10	546	10	
547	9	547	10	
548	10	548	10	
549	10	549	10	
550	10	550	10	
551	10	551	10	
552	10	552	10	
553	9	553	10	
554	10	554	10	
555	10	555	10	
556	10	556	10	
557	10	557	10	
558	9	558	10	
559	10	559	9	
560	10	560	10	
561	10	561	10	
562	10	562	10	
563	10	563	10	
564	10	564	10	
565	9	565	10	
566	10	566	10	
567	10	567	10	
568	10	568	10	
569	10	569	10	
570	9	570	10	
571	10	571	10	
572	10	572	10	
573	10	573	10	
574	10	574	9	
575	10	575	10	
576	9	576	10	
577	10	577	10	
578	10	578	10	
579	10	579	10	
580	10	580	10	
581	10	581	10	
582	10	582	10	
583	9	583	10	
584	10	584	10	
585	10	585	10	
586	10	586	10	
587	10	587	10	
588	10	588	10	
589	9	589	10	
590	10	590	10	
591	10	591	10	
592	10	592	10	
593	10	593	9	
594	10	594	10	
595	9	595	10	
596	10	596	10	
597	10	597	10	
598	10	598	10	
599	10	599	10	
600	9	600	10	
601	10	601	10	
602	10	602	10	
603	10	603	10	
604	10	604	10	
605	10	605	10	
606	9	606	10	
607	10	607	10	
608	10	608	10	
609	10	609	9	
610	10	610	10	
611	10	611	10	
612	9	612	10	
613	10	613	10	
614	10	614	10	
615	10	615	10	
616	10	616	10	
617	10	617	10	
618	9	618	10	
619	10	619	10	
620	10	620	10	
621	10	621	10	
622	10	622	10	
623	9	623	9	
624	10	624	10	
625	10	625	10	
626	10	626	10	
627	10	627	10	
628	9	628	10	
629	10	629	10	
630	10	630	10	
631	10	631	10	
632	10	632	10	
633	10	633	10	
634	10	634	10	
635	9	635	10	
636	10	636	10	
637	10	637	10	
638	10	638	10	
639	10	639	10	
640	9	640	9	
641	10	641	10	
642	10	642	10	
643	10	643	10	
644	9	644	10	
645	10	645	10	
646	10	646	10	
647	10	647	10	
648	10	648	10	
649	9	649	10	
650	10	650	10	
651	10	651	10	
652	10	652	10	
653	9	653	10	
654	10	654	10	
655	10	655	10	
656	10	656	10	
657	10	657	9	
658	9	658	10	
659	10	659	10	
660	10	660	10	
661	10	661	10	
662	10	662	10	
663	9	663	10	
664	10	664	10	
665	10	665	10	
666	10	666	10	
667	9	667	10	
668	10	668	10	
669	10	669	10	
670	10	670	10	
671	10	671	10	
672	9	672	10	
673	10	673	9	
674	10	674	10	
675	10	675	10	
676	9	676	10	
677	10	677	10	
678	10	678	10	
679	10	679	10	
680	10	680	10	
681	9	681	10	
682	10	682	10	
683	10	683	10	
684	10	684	10	
685	10	685	10	
686	10	686	10	
687	9	687	10	
688	10	688	10	
689	10	689	10	
690	10	690	9	
691	10	691	10	
692	10	692	10	
693	9	693	10	
694	10	694	10	
695	10	695	10	
696	10	696	10	
697	9	697	10	
698	10	698	10	
699	10	699	10	
700	10	700	10	
701	10	701	10	
702	10	702	10	
703	9	703	10	
704	10	704	10	
705	10	705	10	
706	10	706	10	
707	10	707	10	
708	9	708	9	
709	10	709	10	
710	10	710	10	
711	10	711	10	
712	10	712	10	
713	9	713	10	
714	10	714	10	
715	10	715	10	
716	10	716	10	
717	10	717	10	
718	9	718	10	
719	10	719	10	
720	10	720	10	
721	10	721	10	
722	10	722	10	
723	10	723	9	
724	9	724	10	
725	10	725	10	
726	10	726	10	
727	10	727	10	
728	9	728	10	
729	10	729	10	
730	10	730	10	
731	10	731	10	
732	10	732	10	
733	9	733	10	
734	10	734	10	
735	10	735	10	
736	10	736	10	
737	10	737	9	
738	10	738	10	
739	9	739	10	
740	10	740	10	
741	10	741	10	
742	10	742	10	
743	9	743	10	
744	10	744	10	
745	10	745	10	
746	10	746	10	
747	10	747	10	
748	10	748	10	
749	9	749	10	
750	10	750	10	
751	10	751	10	
752	10	752	9	
753	10	753	10	
754	9	754	10	
755	10	755	10	
756	10	756	10	
757	10	757	10	
758	10	758	10	
759	9	759	10	
760	10	760	10	
761	10	761	10	
762	10	762	10	
763	10	763	10	
764	9	764	10	
765	10	765	10	
766	10	766	10	
767	10	767	10	
768	10	768	10	
769	9	769	10	
770	10	770	10	
771	10	771	9	
772	10	772	10	
773	10	773	10	
774	9	774	10	
775	10	775	10	
