Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0	0	0	
1	0	1	0	
2	0	2	0	
3	0	3	0	
4	0	4	0	
5	0	5	0	
6	0	6	0	
7	0	7	0	
8	0	8	0	
9	0	9	0	
10	0	10	0	
11	0	11	0	
12	0	12	0	
13	0	13	0	
14	0	14	0	
15	0	15	0	
16	0	16	0	
17	0	17	0	
18	0	18	0	
19	0	19	0	
20	0	20	0	
21	0	21	0	
22	0	22	0	
23	0	23	0	
24	0	24	0	
25	0	25	0	
26	0	26	0	
27	0	27	0	
28	0	28	0	
29	0	29	0	
30	0	30	0	
31	0	31	0	
32	0	32	0	
33	0	33	0	
34	0	34	0	
35	0	35	0	
36	0	36	0	
37	0	37	0	
38	0	38	0	
39	0	39	0	
40	0	40	0	
41	0	41	0	
42	0	42	0	
43	0	43	0	
44	0	44	0	
45	0,0460007	45	0	
46	0	46	0	
47	0,187966	47	0	
48	0,218104	48	0	
49	0,304557	49	0	
50	0,371188	50	0	
51	0,977926	51	0	
52	2,26462	52	0	
53	7,50735	53	0	
54	15,66	54	0	
55	13,4925	55	0	
56	20,8888	56	0	
57	21,8669	57	0	
58	27,4204	58	0	
59	21,0184	59	0	
60	25,5757	60	0	
61	29,4289	61	0	
62	26,6495	62	0	
63	23,7871	63	0	
64	24,6622	64	0	
65	19,8814	65	0	
66	19,2346	66	0	
67	14,9249	67	0	
68	13,2457	68	0	
69	12,3132	69	0	
70	12,7698	70	0	
71	10,53	71	0	
72	12,0952	72	0	
73	14,0015	73	0	
74	15,8989	74	0	
75	16,3652	75	0	
76	19,899	76	0	
77	20,1656	77	0	
78	20,4171	78	0	
79	24,6119	79	0	
80	27,4861	80	0	
81	29,1651	81	0	
82	27,8301	82	0	
83	36,6101	83	0	
84	42,1737	84	0	
85	49,0217	85	0	
86	57,7391	86	0,126132	
87	76,4266	87	9,61203	
88	86,8893	88	19,1403	
89	88,1388	89	29,8659	
90	110,026	90	42,7274	
91	121,72	91	53,6057	
92	129,127	92	46,8572	
93	121,274	93	59,0514	
94	145,792	94	56,1104	
95	153,023	95	68,9439	
96	158,327	96	73,4295	
97	148,187	97	87,4412	
98	167,945	98	96,0606	
99	176,721	99	108,783	
100	181,878	100	135,287	
101	187,624	101	125,588	
102	201,023	102	155,19	
103	186,694	103	159,203	
104	214,283	104	187,966	
105	223,071	105	217,98	
106	231,125	106	221,044	
107	240,774	107	226,342	
108	243,626	108	229,348	
109	223,995	109	208,939	
110	254,458	110	236,013	
111	256,885	111	239,997	
112	261,669	112	242,73	
113	265,878	113	247,11	
114	271,385	114	225,598	
115	275,034	115	255,676	
116	278,271	116	259,266	
117	252,801	117	262,472	
118	284,333	118	267,385	
119	284,901	119	270,855	
120	285,076	120	245,627	
121	288,719	121	277,632	
122	291,118	122	280,064	
123	293,202	123	284,953	
124	294,582	124	287,259	
125	267,305	125	260,774	
126	297,169	126	293,171	
127	297,628	127	296,05	
128	298,172	128	297,218	
129	297,412	129	300,931	
130	300,259	130	303,282	
131	300,542	131	274,017	
132	300,744	132	308,362	
133	300,953	133	309,743	
134	270,766	134	311,323	
135	301,32	135	281,447	
136	299,93	136	314,406	
137	300,928	137	316,078	
138	300,151	138	316,754	
139	300,994	139	318,69	
140	300,92	140	286,544	
141	302,622	141	319,528	
142	301,806	142	319,753	
143	301,533	143	320,302	
144	301,852	144	321,15	
145	302,357	145	289,716	
146	301,038	146	323,703	
147	300,325	147	323,279	
148	300,608	148	324,128	
149	299,09	149	292,635	
150	329,887	150	325,237	
151	297,906	151	325,817	
152	297,612	152	325,648	
153	298,331	153	325,499	
154	297,942	154	293,343	
155	299,871	155	326,839	
156	300,123	156	327,244	
157	298,292	157	327,472	
158	298,587	158	294,765	
159	297,524	159	326,986	
160	298,01	160	326,633	
161	297,2	161	327,502	
162	296,508	162	294,051	
163	297,744	163	325,961	
164	326,865	164	326,975	
165	296,371	165	327,069	
166	295,546	166	295,435	
167	295,152	167	327,987	
168	295,963	168	327,205	
169	293,816	169	326,77	
170	294,627	170	294,58	
171	294,73	171	327,844	
172	295,29	172	327,452	
173	294,271	173	327,531	
174	293,358	174	294,07	
175	292,454	175	326,48	
176	322,022	176	326,58	
177	290,828	177	326,629	
178	291,858	178	293,42	
179	291,898	179	326,027	
180	290,549	180	325,751	
181	290,494	181	325,6	
182	289,461	182	293,07	
183	289,901	183	325,064	
184	288,639	184	324,68	
185	290,767	185	325,091	
186	318,689	186	292,311	
187	290,471	187	324,6	
188	290,795	188	324,669	
189	289,657	189	323,972	
190	289,289	190	291,638	
191	288,491	191	323,762	
192	286,702	192	323,697	
193	288,277	193	322,996	
194	286,957	194	290,511	
195	287,216	195	322,699	
196	315,375	196	323,028	
197	285,775	197	322,561	
198	284,991	198	290,069	
199	284,605	199	321,854	
200	285,558	200	321,946	
201	284,587	201	321,28	
202	284,826	202	288,478	
203	284,429	203	319,802	
204	284,229	204	320,248	
205	283,999	205	320,561	
206	282,616	206	287,918	
207	281,744	207	319,758	
208	281,624	208	318,537	
209	310,624	209	318,266	
210	282,938	210	319,042	
211	282,458	211	286,092	
212	281,871	212	317,185	
213	280,629	213	316,986	
214	279,319	214	317,841	
215	278,801	215	317,517	
216	277,54	216	285,328	
217	279,59	217	315,549	
218	277,67	218	315,618	
219	277,415	219	283,32	
220	278,418	220	314,265	
221	277,999	221	314,311	
222	278,576	222	314,796	
223	276,93	223	313,273	
224	303,999	224	282,208	
225	276,78	225	313,485	
226	277,531	226	313,217	
227	276,641	227	312,488	
228	275,769	228	280,715	
229	274,942	229	311,698	
230	274,444	230	312,17	
231	274,134	231	312,061	
232	274,395	232	279,35	
233	274,599	233	310,563	
234	274,221	234	311,221	
235	300,742	235	310,428	
236	272,881	236	279,101	
237	272,007	237	309,991	
238	270,803	238	309,938	
239	271,358	239	310,388	
240	270,314	240	310,089	
241	270,38	241	308,032	
242	297,444	242	306,442	
243	271,722	243	333,419	
244	272,816	244	302,847	
245	272,928	245	301,448	
246	271,974	246	300,309	
247	273,84	247	300,847	
248	271,739	248	329,246	
249	271,777	249	298,551	
250	270,211	250	299,056	
251	297,803	251	327,682	
252	271,911	252	296,979	
253	271,476	253	326,548	
254	269,271	254	296,503	
255	269,518	255	296,507	
256	268,722	256	325,693	
257	269,071	257	295,803	
258	267,587	258	295,6	
259	294,577	259	324,496	
260	267,794	260	294,081	
261	267,06	261	294,1	
262	267,157	262	322,986	
263	267,232	263	294,219	
264	266,483	264	293,007	
265	265,544	265	323,238	
266	264,773	266	292,731	
267	263,693	267	292,408	
268	263,355	268	321,38	
269	263,189	269	291,363	
270	290,319	270	291,021	
271	264,129	271	289,716	
272	263,44	272	318,019	
273	261,566	273	289,808	
274	261,376	274	289,57	
275	261,84	275	317,548	
276	261,632	276	288,573	
277	261,568	277	288,199	
278	261,195	278	316,895	
279	260,73	279	287,432	
280	285,851	280	286,93	
281	260,247	281	316,108	
282	260,651	282	286,851	
283	259,196	283	285,373	
284	259,793	284	285,921	
285	259,092	285	313,761	
286	258,764	286	285,525	
287	258,558	287	286,07	
288	259,582	288	313,426	
289	286,15	289	284,323	
290	259,507	290	284,3	
291	233,505	291	283,867	
292	286,504	292	311,853	
293	258,328	293	283,363	
294	258,354	294	283,598	
295	257,09	295	311,2	
296	258,052	296	282,306	
297	255,408	297	282,384	
298	252,967	298	309,746	
299	252,247	299	281,08	
300	252,177	300	281,187	
301	251,552	301	308,403	
302	251,414	302	279,604	
303	252,702	303	279,137	
304	250,624	304	278,523	
305	250,598	305	306,218	
306	250,324	306	277,291	
307	275,987	307	277,349	
308	250,05	308	304,893	
309	249,455	309	275,313	
310	249,896	310	276,188	
311	250,294	311	303,379	
312	247,954	312	275,887	
313	248,807	313	275,572	
314	247,179	314	274,262	
315	246,74	315	300,929	
316	248,172	316	272,957	
317	245,23	317	300,413	
318	245,532	318	272,727	
319	245,429	319	271,768	
320	244,292	320	271,43	
321	243,931	321	298,419	
322	269,789	322	270,747	
323	245,121	323	270,165	
324	245,268	324	296,175	
325	244,225	325	268,972	
326	245,392	326	268,715	
327	244,243	327	268,874	
328	243,036	328	295,652	
329	244,594	329	268,782	
330	243,543	330	268,117	
331	243,709	331	295,2	
332	242,495	332	267,471	
333	242,406	333	267,334	
334	241,477	334	293,637	
335	265,8	335	266,632	
336	239,714	336	266,625	
337	239,495	337	266,283	
338	238,306	338	292,028	
339	238,693	339	264,858	
340	237,699	340	265,269	
341	235,724	341	290,914	
342	235,772	342	263,781	
343	235,957	343	263,32	
344	235,409	344	288,685	
345	235,998	345	262,048	
346	236,089	346	262,125	
347	235,958	347	261,14	
348	233,855	348	287,811	
349	236,59	349	261,051	
350	234,964	350	260,153	
351	259,441	351	285,851	
352	235,074	352	259,577	
353	235,012	353	259,915	
354	235,491	354	259,517	
355	235,506	355	285,161	
356	234,549	356	258,848	
357	233,733	357	258,867	
358	232,114	358	284,109	
359	231,891	359	257,681	
360	231,534	360	258,1	
361	232,144	361	282,96	
362	231,315	362	256,451	
363	231,967	363	256,965	
364	231	364	282,079	
365	230,824	365	256,246	
366	230,096	366	256,194	
367	230,518	367	280,512	
368	229,723	368	254,476	
369	252,434	369	254,898	
370	229,234	370	255,248	
371	229,21	371	278,929	
372	229,147	372	253,375	
373	228,225	373	253,759	
374	228,655	374	278,907	
375	228,861	375	252,89	
376	229,573	376	252,586	
377	229,515	377	277,549	
378	229,129	378	252,109	
379	227,486	379	251,926	
380	227,271	380	251,43	
381	226,838	381	276,602	
382	226,841	382	251,132	
383	226,02	383	250,003	
384	225,652	384	275,151	
385	225,876	385	249,977	
386	224,256	386	249,992	
387	223,663	387	274,199	
388	222,985	388	248,707	
389	223,739	389	248,681	
390	222,493	390	248,231	
391	222,884	391	272,967	
392	223,254	392	247,728	
393	222,091	393	247,496	
394	221,955	394	271,749	
395	222,361	395	246,603	
396	220,944	396	246,365	
397	244,274	397	246,122	
398	221,624	398	270,385	
399	198,918	399	245,454	
400	219,439	400	245,44	
401	220,359	401	269,558	
402	218,013	402	244,772	
403	217,902	403	244,371	
404	217,729	404	243,627	
405	217,957	405	267,482	
406	218,252	406	242,627	
407	218,732	407	242,952	
408	217,841	408	266,436	
409	240,704	409	242,062	
410	218,263	410	240,883	
411	217,717	411	264,879	
412	216,826	412	240,524	
413	216,278	413	240,425	
414	215,677	414	263,757	
415	216,258	415	239,954	
416	217,353	416	240,006	
417	217,356	417	239,165	
418	216,208	418	263,166	
419	195,023	419	239,012	
420	237,241	420	238,364	
421	193,489	421	262,585	
422	214,804	422	237,862	
423	214,72	423	237,956	
424	214,507	424	238,259	
425	214,447	425	261,738	
426	214,163	426	236,951	
427	215,298	427	236,651	
428	214,569	428	260,334	
429	213,952	429	236,389	
430	213,263	430	235,701	
431	214,01	431	235,318	
432	213,735	432	258,485	
433	213,501	433	235,106	
434	213,315	434	235,104	
435	213,609	435	258,694	
436	212,74	436	234,064	
437	213,085	437	233,978	
438	210,968	438	234,544	
439	211,374	439	257,625	
440	210,895	440	233,871	
441	208,647	441	232,966	
442	209,555	442	256,867	
443	209,255	443	232,676	
444	229,866	444	232,33	
445	189,18	445	255,767	
446	229,518	446	231,62	
447	207,362	447	231,588	
448	208,774	448	253,357	
449	186,868	449	231,2	
450	229,22	450	230,275	
451	186,965	451	230,354	
452	207,472	452	252,289	
453	207,738	453	229,615	
454	207,599	454	229,199	
455	206,472	455	228,59	
456	204,768	456	251,583	
457	205,108	457	227,849	
458	206,456	458	228,089	
459	207,455	459	249,928	
460	206,695	460	227,22	
461	206,225	461	226,677	
462	205,46	462	249,218	
463	204,256	463	226,432	
464	202,97	464	247,843	
465	203,538	465	224,795	
466	204,762	466	246,523	
467	203,383	467	223,418	
468	203,008	468	222,996	
469	202,03	469	245,281	
470	202,64	470	221,692	
471	203,197	471	243,269	
472	202,738	472	220,804	
473	203,157	473	241,616	
474	203,006	474	242,136	
475	203,086	475	219,177	
476	202,771	476	240,134	
477	202,973	477	239,805	
478	202,284	478	216,586	
479	200,19	479	238,328	
480	200,922	480	238,093	
481	201,391	481	215,843	
482	200,284	482	237,332	
483	200,817	483	215,06	
484	201,371	484	236,031	
485	201,457	485	235,494	
486	200,333	486	214,041	
487	202,434	487	235,169	
488	201,997	488	235,06	
489	200,879	489	213,683	
490	201,55	490	234,959	
491	200,656	491	235,101	
492	200,731	492	213,654	
493	200,815	493	234,233	
494	199,958	494	234,111	
495	200,456	495	212,897	
496	199,071	496	234,201	
497	198,823	497	233,373	
498	197,695	498	211,833	
499	196,579	499	232,105	
500	176,401	500	232,212	
501	195,291	501	231,635	
502	195,662	502	210,131	
503	195,127	503	230,743	
504	194,471	504	229,826	
505	194,357	505	228,881	
506	195,022	506	207,878	
507	194,888	507	227,694	
508	194,104	508	227,283	
509	195,336	509	226,804	
510	194,532	510	206,336	
511	193,535	511	226,761	
512	192,356	512	226,085	
513	194,746	513	225,519	
514	194,006	514	204,512	
515	193,539	515	225,467	
516	192,698	516	224,376	
517	190,682	517	204,265	
518	192,346	518	225,141	
519	191,926	519	203,307	
520	192,299	520	224,2	
521	190,082	521	223,767	
522	190,587	522	203,116	
523	190,349	523	223,21	
524	189,265	524	223,037	
525	189,591	525	202,134	
526	187,929	526	222,322	
527	189,693	527	221,936	
528	188,475	528	201,505	
529	188,686	529	221,02	
530	187,937	530	221,055	
531	188,052	531	200,737	
532	187,508	532	219,885	
533	188,218	533	219,782	
534	187,18	534	200,329	
535	186,615	535	219,434	
536	168,897	536	218,995	
537	185,811	537	198,883	
538	186,154	538	217,532	
539	184,941	539	218,197	
540	184,498	540	197,715	
541	184,2	541	217,168	
542	183,916	542	216,461	
543	184,164	543	196,716	
544	183,492	544	215,083	
545	184,009	545	216,066	
546	182,905	546	195,555	
547	183,309	547	215,19	
548	183,943	548	195,139	
549	183,082	549	213,989	
550	182,843	550	214,405	
551	181,837	551	214,034	
552	164,636	552	193,737	
553	182,906	553	212,434	
