Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0	0	0	
1	0	1	0	
2	0	2	0	
3	0	3	0	
4	0	4	0	
5	4,6854	5	0	
6	9,71212	6	0	
7	12,9701	7	0	
8	11,7574	8	0	
9	20,4557	9	0	
10	23,5854	10	0	
11	41,093	11	0	
12	52,1051	12	0	
13	53,0582	13	0	
14	59,2733	14	0	
15	53,0571	15	0	
16	45,1544	16	0	
17	45,4001	17	4,40962	
18	35,4311	18	19,1357	
19	28,8428	19	29,6353	
20	27,7029	20	57,3057	
21	18,3295	21	62,9853	
22	18,0629	22	67,284	
23	21,0296	23	62,7693	
24	23,1294	24	59,4539	
25	27,3934	25	55,4603	
26	36,6911	26	57,6177	
27	38,0965	27	66,3274	
28	47,0274	28	78,5501	
29	56,6969	29	74,1799	
30	61,413	30	77,5781	
31	75,2893	31	85,7845	
32	100,318	32	78,2003	
33	97,9093	33	79,5816	
34	102,016	34	80,7059	
35	121,357	35	83,593	
36	117,379	36	85,8828	
37	138,319	37	89,3465	
38	139,763	38	94,1935	
39	148,653	39	96,9484	
40	159,602	40	102,205	
41	149,086	41	106,013	
42	153,416	42	110,329	
43	173,703	43	115,572	
44	155,88	44	117,511	
45	171,896	45	121,078	
46	177,052	46	128,69	
47	200,48	47	133,185	
48	188,463	48	138,366	
49	214,198	49	141,953	
50	198,141	50	145,424	
51	211,512	51	151,29	
52	217,904	52	154,936	
53	222,263	53	144,13	
54	224,367	54	166,916	
55	246,008	55	170,483	
56	219,613	56	178,366	
57	215,81	57	183,038	
58	214,993	58	186,505	
59	217,668	59	194,511	
60	240,65	60	195,859	
61	224,039	61	198,904	
62	225,91	62	202,095	
63	229,623	63	203,756	
64	228,498	64	209,448	
65	247,22	65	190,415	
66	223,905	66	214,168	
67	223,185	67	218,675	
68	228,84	68	220,501	
69	250,348	69	222,498	
70	229,082	70	225,112	
71	232,41	71	225,872	
72	233,282	72	228,42	
73	259,233	73	230,474	
74	235,051	74	231,942	
75	235,597	75	234,839	
76	237,006	76	235,034	
77	233,995	77	236,903	
78	257,557	78	239,572	
79	237,601	79	216,436	
80	242,425	80	243,198	
81	266,576	81	244,827	
82	245,358	82	243,825	
83	245,632	83	247,838	
84	247,012	84	249,436	
85	268,79	85	249,561	
86	246,782	86	253,219	
87	243,113	87	254,868	
88	244,603	88	255,573	
89	267,812	89	256,878	
90	245,796	90	258,515	
91	244,695	91	259,163	
92	242,158	92	233,42	
93	265,703	93	261,74	
94	242,021	94	262,257	
95	241,492	95	262,464	
96	266,063	96	261,283	
97	240,269	97	263,547	
98	216,513	98	263,695	
99	217,76	99	263,785	
100	217,498	100	261,373	
101	243,132	101	260,472	
102	223,406	102	257,518	
103	224,271	103	255,546	
104	227,394	104	253,608	
105	228,21	105	227,664	
106	228,229	106	252,794	
107	253,283	107	253,195	
108	228,701	108	252,397	
109	226,232	109	253,632	
110	227,012	110	253,952	
111	251,052	111	253,915	
112	225,209	112	254,639	
113	249,917	113	254,916	
114	223,515	114	257,227	
115	245,287	115	257,469	
116	240,325	116	256,986	
117	217,037	117	257,783	
118	240,118	118	231,094	
119	214,253	119	256,33	
120	215,702	120	255,077	
121	240,272	121	254,784	
122	215,727	122	254,571	
123	240,668	123	253,296	
124	239,016	124	253,107	
125	215,045	125	252,079	
126	238,481	126	252,53	
127	237,687	127	251,982	
128	215,059	128	251,548	
129	238,415	129	250,871	
130	215,223	130	251,318	
131	239,05	131	250,841	
132	215,705	132	225,602	
133	238,925	133	250,627	
134	214,916	134	250,021	
135	215,717	135	250,367	
136	239,001	136	250,078	
137	215,117	137	249,728	
138	237,948	138	250,142	
139	211,75	139	249,485	
140	236,599	140	249,042	
141	213,146	141	248,887	
142	235,354	142	248,833	
143	212,352	143	248,603	
144	210,688	144	223,549	
145	234,513	145	248,4	
146	209,339	146	247,862	
147	232,631	147	247,796	
148	206,65	148	247,367	
149	208,447	149	246,804	
150	231,565	150	246,267	
151	206,85	151	246,194	
152	231,097	152	245,725	
153	207,516	153	244,945	
154	230,693	154	244,63	
155	208,369	155	244,285	
156	230,379	156	243,613	
157	208,042	157	219,323	
158	208,738	158	243,333	
159	230,146	159	243,712	
160	209,548	160	243	
161	231,853	161	243,046	
162	208,559	162	242,879	
163	208,06	163	242,21	
164	231,577	164	241,717	
165	206,817	165	242,008	
166	229,632	166	242,863	
167	208,054	167	242,889	
168	228,045	168	242,683	
169	206,31	169	242,124	
170	229,274	170	241,741	
171	205,07	171	242,483	
172	204,741	172	216,808	
173	226,323	173	241,323	
174	203,273	174	240,721	
175	205,344	175	241,041	
176	226,287	176	240,822	
177	204,49	177	239,579	
178	203,749	178	239,384	
179	229,398	179	239,052	
180	206,157	180	238,397	
181	229,073	181	237,416	
182	206,266	182	236,51	
183	205,441	183	236,407	
184	204,55	184	236,092	
185	227,531	185	236,003	
186	205,807	186	213,006	
187	204,591	187	235,682	
188	227,525	188	234,921	
189	204,14	189	235,319	
190	225,181	190	234,486	
191	203,615	191	234,945	
192	204,215	192	233,915	
193	202,715	193	233,909	
194	201,95	194	234,531	
195	203,741	195	233,459	
196	222,579	196	233,558	
197	201,765	197	233,168	
198	200,869	198	233,052	
199	200,804	199	232,362	
200	222,272	200	209,46	
201	199,798	201	232,689	
202	199,724	202	232,856	
203	199,508	203	232,057	
204	221,537	204	231,513	
205	198,584	205	232,382	
206	199,173	206	231,245	
207	220,486	207	231,447	
208	199,538	208	231,978	
209	200,258	209	231,039	
210	221,669	210	230,286	
211	220,335	211	231,412	
212	218,855	212	230,651	
213	193,491	213	233,595	
214	214,409	214	233,273	
215	213,099	215	234,748	
216	211,822	216	235,427	
217	211,233	217	235,396	
218	232,213	218	235,634	
219	210,773	219	236,37	
220	208,716	220	238,092	
221	208,312	221	239,063	
222	230,218	222	214,715	
223	206,983	223	238,573	
224	208,508	224	239,099	
225	227,44	225	238,549	
226	208,109	226	238,932	
227	208,301	227	239,515	
228	207,089	228	239,413	
229	228,098	229	240,096	
230	207,929	230	239,767	
231	208,072	231	239,588	
232	206,773	232	238,352	
233	225,541	233	239,029	
234	206,458	234	239,793	
235	205,391	235	239,382	
236	205,511	236	238,899	
237	226,03	237	215,351	
238	206,19	238	238,583	
239	206,82	239	239,073	
240	206,331	240	239,344	
241	227,032	241	239,493	
242	204,54	242	238,268	
243	205,23	243	239,048	
244	205,729	244	238,838	
245	224,676	245	238,559	
246	203,126	246	237,924	
247	202,54	247	237,463	
248	203,188	248	236,812	
249	223,66	249	236,266	
250	202,028	250	236,149	
251	202,647	251	236,992	
252	201,629	252	236,656	
253	221,538	253	212,298	
254	203,509	254	236,586	
255	201,485	255	236,933	
256	200,791	256	235,647	
257	221,449	257	236,193	
258	201,519	258	235,731	
259	201,162	259	235,884	
260	200,338	260	234,899	
261	200,316	261	234,252	
262	219,891	262	234,165	
263	200,561	263	233,82	
264	199,544	264	233,829	
265	200,883	265	233,768	
266	221,039	266	231,696	
267	201,33	267	231,437	
268	201,248	268	231,002	
269	199,596	269	231,076	
270	220,567	270	207,597	
271	200,865	271	230,269	
272	200,63	272	229,404	
273	200,084	273	229,881	
274	201,712	274	229,355	
275	220,876	275	228,715	
276	201,865	276	228,795	
277	200,693	277	228,645	
278	199,922	278	227,809	
279	200,156	279	228,416	
280	219,947	280	227,562	
281	198,544	281	228,065	
282	198,498	282	226,788	
283	197,66	283	226,624	
284	196,654	284	226,255	
285	196,931	285	226,64	
286	215,752	286	226,481	
287	197,051	287	226,079	
288	194,14	288	202,329	
289	195,623	289	223,979	
290	195,678	290	223,715	
291	196,418	291	223,067	
292	196,055	292	222,754	
293	196,345	293	222,948	
294	196,034	294	221,778	
295	195,235	295	222,108	
296	195,336	296	221,302	
297	195,024	297	221,237	
298	194,544	298	222,06	
299	195,187	299	221,336	
300	194,917	300	220,769	
301	212,455	301	221,282	
302	193,668	302	220,415	
303	192,569	303	220,815	
304	192,308	304	219,492	
305	191,912	305	219,287	
306	193,537	306	218,653	
307	192,047	307	217,986	
308	193,164	308	217,759	
309	193,817	309	196,132	
310	192,118	310	218,205	
311	192,779	311	218,591	
312	192,419	312	217,281	
313	210,812	313	217,492	
314	192,45	314	216,929	
315	192,009	315	216,796	
316	192,521	316	216,81	
317	191,679	317	216,583	
318	190,76	318	215,418	
319	191,761	319	216,547	
320	190,791	320	216,722	
321	190,362	321	215,401	
322	190,698	322	215,725	
323	190	323	216,042	
324	189,739	324	215,7	
325	189,005	325	214,651	
326	189,572	326	214,153	
327	187,425	327	192,788	
328	189,275	328	213,668	
329	189,196	329	213,391	
330	207,207	330	213,671	
331	189,685	331	212,549	
332	189,374	332	213,278	
333	190,796	333	212,312	
334	189,646	334	212,393	
335	189,556	335	212,183	
336	189,768	336	211,965	
337	189,714	337	212,244	
338	189,927	338	212,771	
339	187,975	339	212,167	
340	187,762	340	212,553	
341	187,493	341	191,052	
342	185,729	342	211,685	
343	187,875	343	211,88	
344	206,204	344	210,415	
345	187,12	345	210,789	
346	187,641	346	210,232	
347	185,997	347	210,247	
348	186,419	348	209,411	
349	185,697	349	209,51	
350	185,995	350	210,378	
351	185,531	351	209,729	
352	184,616	352	208,703	
353	185,354	353	209,042	
354	185,379	354	208,982	
355	184,36	355	208,932	
356	184,674	356	208,616	
357	184,817	357	207,965	
358	184,787	358	187,764	
359	184,676	359	207,955	
360	184,008	360	207,923	
361	185,153	361	207,255	
362	183,981	362	206,597	
363	184,391	363	206,427	
364	182,12	364	207,443	
365	201,384	365	206,522	
366	183,056	366	206,17	
367	182,306	367	206,554	
368	183,381	368	205,417	
369	183,448	369	205,843	
370	182,92	370	184,197	
371	182,402	371	205,749	
372	181,524	372	205,334	
373	181,437	373	204,398	
374	180,966	374	204,779	
375	180,101	375	203,941	
376	180,731	376	203,424	
377	180,487	377	203,092	
378	179,107	378	203,491	
379	179,192	379	203,111	
380	179,865	380	202,652	
381	180,105	381	202,386	
382	179,874	382	201,986	
383	180,143	383	181,394	
384	180,876	384	200,972	
385	180,738	385	201,089	
386	179,905	386	200,963	
387	179,741	387	200,731	
388	178,586	388	200,45	
389	179,263	389	200,907	
390	179,166	390	201,114	
391	177,879	391	200,3	
392	195,207	392	200,29	
393	177,268	393	200,091	
394	178,518	394	199,526	
395	177,678	395	199,427	
396	176,813	396	198,246	
397	178,747	397	178,526	
398	178,248	398	198,432	
399	176,095	399	197,958	
400	175,531	400	197,926	
401	176,602	401	197,91	
402	176,169	402	197,663	
403	176,835	403	198,211	
404	177,293	404	198,1	
405	176,688	405	197,476	
406	176,153	406	196,782	
407	174,413	407	196,456	
408	173,375	408	196,171	
409	173,422	409	195,648	
410	174,76	410	196,339	
411	174,148	411	196,881	
412	174,125	412	195,98	
413	174,978	413	195,234	
414	174,357	414	194,813	
415	173,053	415	194,124	
416	174,036	416	175,318	
417	174,191	417	194,219	
418	173,003	418	193,742	
419	172,235	419	194,093	
420	171,869	420	194,37	
421	171,091	421	194,097	
422	172,165	422	193,44	
423	170,773	423	192,541	
424	171,266	424	192,359	
425	171,936	425	192,965	
426	171,382	426	192,487	
427	171,28	427	192,416	
428	170,839	428	191,137	
429	170,571	429	191,558	
430	170,642	430	171,573	
431	170,616	431	191,417	
432	170,226	432	191,347	
433	170,799	433	191,193	
434	171,17	434	190,515	
435	169,573	435	190,489	
436	170,158	436	190,604	
437	170,718	437	190,46	
438	168,724	438	189,987	
439	169,133	439	189,91	
440	168,165	440	189,427	
441	167,578	441	169,961	
442	166,345	442	188,863	
443	166,393	443	188,584	
444	165,891	444	188,555	
445	165,309	445	188,212	
446	164,948	446	187,809	
447	165,747	447	187,881	
448	166,973	448	187,524	
449	166,958	449	186,511	
450	164,811	450	186,614	
451	165,485	451	186,094	
452	165,581	452	186,392	
453	165,767	453	185,559	
454	166,522	454	185,077	
455	165,592	455	166,84	
456	164,303	456	185,513	
457	163,752	457	185,43	
458	164,846	458	185,165	
459	164,713	459	184,717	
460	165,335	460	184,182	
461	164,68	461	184,034	
462	165,101	462	183,472	
463	164,278	463	184,055	
464	164,288	464	183,106	
465	165,754	465	183,135	
466	165,402	466	183,625	
467	164,877	467	183,904	
468	164,025	468	183,277	
469	163,432	469	183,862	
470	162,771	470	182,924	
471	162,399	471	183,156	
472	160,539	472	164,584	
473	160,794	473	182,806	
474	161,348	474	181,938	
475	161,041	475	181,383	
476	160,456	476	181,366	
477	161,202	477	181,172	
478	159,455	478	180,422	
479	159,114	479	180,427	
480	161,166	480	179,555	
481	159,006	481	179,762	
482	159,924	482	179,247	
483	159,567	483	179,57	
484	159,936	484	179,082	
485	158,99	485	178,655	
486	143,172	486	177,949	
487	159,198	487	178,278	
488	158,587	488	177,692	
489	159,482	489	177,861	
490	157,968	490	159,51	
491	143,815	491	176,871	
492	159,865	492	176,683	
493	159,335	493	177,213	
494	158,266	494	176,898	
495	157,455	495	176,195	
496	156,959	496	176,609	
497	156,818	497	176,494	
498	142,2	498	175,246	
499	156,843	499	175,624	
500	156,968	500	175,226	
501	156,836	501	174,473	
502	157,988	502	174,963	
503	157,224	503	174,579	
504	140,43	504	174,131	
505	155,451	505	174,069	
506	156,874	506	174,576	
507	156,476	507	156,187	
508	155,595	508	173,655	
509	155,846	509	173,348	
510	140,18	510	172,769	
511	156,007	511	173,392	
512	154,235	512	173,634	
513	154,464	513	173,328	
514	156,064	514	172,979	
515	155,694	515	171,945	
516	139,436	516	172,581	
517	154,849	517	172,111	
518	154,837	518	171,598	
519	154,267	519	171,443	
520	154,452	520	171,666	
521	154,365	521	154,885	
522	136,68	522	171,331	
523	153,251	523	171,373	
524	153,513	524	171,317	
525	153,054	525	170,717	
526	152,696	526	170,204	
527	151,216	527	170,497	
528	137,001	528	169,706	
529	151,329	529	169,393	
530	151,463	530	169,916	
531	151,168	531	169,345	
532	150,659	532	169,836	
533	151,362	533	168,707	
534	135,328	534	168,565	
535	150,967	535	168,272	
536	151,841	536	167,72	
