Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	59,7897	0	21,5577	0	21,6724	0	21,3663	0	21,4431	
1	59,7726	1	21,5407	1	21,6582	1	21,3644	1	21,4379	
2	60,1409	2	21,5715	2	21,6928	2	21,3976	2	21,4284	
3	60,7365	3	21,584	3	21,6877	3	21,4029	3	21,4726	
4	60,5846	4	21,5781	4	21,7008	4	21,4132	4	21,4563	
5	61,1665	5	21,5798	5	21,6945	5	21,4083	5	21,4566	
6	61,2919	6	21,5778	6	21,6892	6	21,3906	6	21,474	
7	61,4484	7	21,5958	7	21,6839	7	21,4152	7	21,4773	
8	61,3947	8	21,55	8	21,6358	8	21,3529	8	21,4283	
9	60,6574	9	21,5955	9	21,6627	9	21,3846	9	21,4609	
10	60,4097	10	21,5657	10	21,6836	10	21,3832	10	21,4425	
11	60,1203	11	21,5922	11	21,6874	11	21,3889	11	21,4609	
12	59,9487	12	21,6008	12	21,7231	12	21,4075	12	21,4857	
13	59,991	13	21,5861	13	21,679	13	21,3895	13	21,4539	
14	59,9527	14	21,583	14	21,6787	14	21,3915	14	21,4465	
15	59,9269	15	21,5695	15	21,6775	15	21,3771	15	21,4297	
16	59,9081	16	21,5954	16	21,6835	16	21,3945	16	21,4637	
17	59,9127	17	21,596	17	21,6936	17	21,4225	17	21,4775	
18	59,8964	18	21,5643	18	21,6875	18	21,3908	18	21,4596	
19	60,3299	19	21,5673	19	21,6833	19	21,3986	19	21,4929	
20	60,1951	20	21,5937	20	21,714	20	21,398	20	21,4828	
21	60,692	21	21,5779	21	21,6831	21	21,404	21	21,4556	
22	60,4998	22	21,5934	22	21,7171	22	21,3906	22	21,4636	
23	60,9261	23	21,5822	23	21,6893	23	21,4055	23	21,4614	
24	61,6946	24	21,5674	24	21,6925	24	21,4035	24	21,4466	
25	61,0154	25	21,6058	25	21,7205	25	21,4243	25	21,4575	
26	60,5006	26	21,5932	26	21,6979	26	21,3947	26	21,4406	
27	60,2465	27	21,595	27	21,7168	27	21,4202	27	21,4761	
28	60,0756	28	21,5546	28	21,6882	28	21,3746	28	21,4736	
29	60,1658	29	21,6027	29	21,6918	29	21,4188	29	21,4662	
30	60,1648	30	21,595	30	21,7144	30	21,4083	30	21,4912	
31	60,2255	31	21,586	31	21,7083	31	21,4088	31	21,4609	
32	60,1682	32	21,6095	32	21,699	32	21,4104	32	21,4796	
33	60,1594	33	21,5911	33	21,7043	33	21,4314	33	21,4731	
34	60,101	34	21,5886	34	21,6862	34	21,418	34	21,4644	
35	60,1489	35	21,5541	35	21,6627	35	21,376	35	21,4219	
36	60,1584	36	21,5855	36	21,6982	36	21,3893	36	21,4779	
37	60,1507	37	21,5709	37	21,7107	37	21,4041	37	21,4487	
38	60,097	38	21,5894	38	21,6927	38	21,4188	38	21,4491	
39	60,1199	39	21,6028	39	21,7203	39	21,4123	39	21,4692	
40	60,1437	40	21,5692	40	21,6767	40	21,3929	40	21,4384	
41	60,1695	41	21,5959	41	21,7286	41	21,4372	41	21,4637	
42	60,1785	42	21,5906	42	21,7109	42	21,4134	42	21,4726	
43	60,3002	43	21,613	43	21,7229	43	21,4173	43	21,4903	
44	60,2969	44	21,5808	44	21,6916	44	21,3974	44	21,4694	
45	60,3267	45	21,6818	45	21,7093	45	21,3885	45	21,4743	
46	60,3243	46	21,8201	46	21,7107	46	21,4027	46	21,4842	
47	60,3415	47	21,765	47	21,6527	47	21,3883	47	21,4593	
48	60,3136	48	21,7744	48	21,6441	48	21,4025	48	21,4546	
49	60,3194	49	21,7377	49	21,6468	49	21,4269	49	21,4823	
50	60,3051	50	21,721	50	21,6102	50	21,4012	50	21,4633	
51	60,2947	51	21,776	51	21,5812	51	21,4064	51	21,4604	
52	60,2425	52	22,2969	52	21,6205	52	21,4077	52	21,4912	
53	60,2322	53	23,0847	53	21,5898	53	21,4201	53	21,4945	
54	60,1287	54	23,9557	54	21,617	54	21,408	54	21,4696	
55	60,1414	55	24,294	55	21,6074	55	21,4112	55	21,46	
56	60,1484	56	24,7187	56	21,5991	56	21,4053	56	21,465	
57	60,1615	57	24,8366	57	21,5709	57	21,4121	57	21,4505	
58	60,1661	58	24,8582	58	21,5822	58	21,4059	58	21,476	
59	60,1615	59	24,7445	59	21,6056	59	21,426	59	21,497	
60	60,1072	60	24,7162	60	21,6605	60	21,4397	60	21,5028	
61	60,0442	61	24,5696	61	21,6396	61	21,3842	61	21,4458	
62	60,0645	62	24,3948	62	21,7415	62	21,381	62	21,4336	
63	60,051	63	24,3072	63	21,9389	63	21,4096	63	21,4405	
64	60,0652	64	24,2168	64	22,1122	64	21,4177	64	21,4916	
65	59,992	65	24,0944	65	22,3977	65	21,4157	65	21,4736	
66	60,0169	66	24,0859	66	22,6497	66	21,4021	66	21,4627	
67	59,9438	67	24,0438	67	22,9293	67	21,3982	67	21,4759	
68	59,951	68	24,0148	68	23,0257	68	21,3725	68	21,4469	
69	59,9349	69	24,0516	69	23,2343	69	21,4074	69	21,4525	
70	59,8918	70	24,1091	70	23,3462	70	21,3992	70	21,4286	
71	59,9484	71	24,175	71	23,476	71	21,4112	71	21,4818	
72	59,9454	72	24,2424	72	23,5199	72	21,422	72	21,5054	
73	59,8986	73	24,4115	73	23,5751	73	21,4076	73	21,4303	
74	59,8636	74	24,6147	74	23,665	74	21,4489	74	21,4944	
75	59,833	75	24,8287	75	23,7424	75	21,4317	75	21,4526	
76	59,7699	76	24,9694	76	23,7807	76	21,425	76	21,4468	
77	59,7387	77	25,1102	77	23,9055	77	21,4435	77	21,4752	
78	59,6129	78	25,3586	78	24,0034	78	21,4099	78	21,472	
79	59,4642	79	25,585	79	24,1148	79	21,3964	79	21,4457	
80	59,3639	80	25,8484	80	24,2064	80	21,4039	80	21,439	
81	59,0762	81	26,0971	81	24,3549	81	21,3911	81	21,4381	
82	58,7227	82	26,3531	82	24,5058	82	21,415	82	21,4624	
83	57,5748	83	26,8542	83	24,6672	83	21,4057	83	21,4569	
84	57,1938	84	27,2078	84	24,6885	84	21,3835	84	21,4542	
85	57,0665	85	27,7994	85	24,871	85	21,3932	85	21,4595	
86	56,9262	86	29,0271	86	25,1947	86	21,4169	86	21,4923	
87	56,7766	87	29,8344	87	25,2689	87	22,8502	87	21,4147	
