Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	23,3413	0	23,4612	0	19,2675	0	18,7565	0	13,7566	
1	23,3495	1	23,464	1	19,2599	1	18,7513	1	13,7428	
2	23,3767	2	23,4478	2	19,2294	2	18,7398	2	13,7526	
3	23,3423	3	23,4237	3	19,2238	3	18,7237	3	13,7122	
4	23,3752	4	23,4213	4	19,2256	4	18,7498	4	13,7246	
5	23,348	5	23,475	5	19,2486	5	18,769	5	13,7953	
6	23,3509	6	23,4329	6	19,2344	6	18,7491	6	13,7429	
7	23,3577	7	23,456	7	19,2443	7	18,7946	7	13,7819	
8	23,3751	8	23,4437	8	19,2225	8	18,7623	8	13,7772	
9	23,3739	9	23,477	9	19,2345	9	18,7867	9	13,795	
10	23,3535	10	23,4681	10	19,2161	10	18,7892	10	13,7922	
11	23,3902	11	23,4564	11	19,2342	11	18,8325	11	13,7837	
12	23,3946	12	23,4602	12	19,1858	12	18,7893	12	13,7676	
13	23,3621	13	23,46	13	19,2055	13	18,8266	13	13,7969	
14	23,3552	14	23,4415	14	19,2003	14	18,8081	14	13,7773	
15	23,3756	15	23,4719	15	19,2194	15	18,8082	15	13,8065	
16	23,3761	16	23,4574	16	19,2257	16	18,843	16	13,8085	
17	23,3546	17	23,4789	17	19,2145	17	18,8665	17	13,8045	
18	23,3599	18	23,443	18	19,2055	18	18,8361	18	13,8226	
19	23,3542	19	23,4495	19	19,2074	19	18,8513	19	13,8035	
20	23,3776	20	23,4708	20	19,2069	20	18,8703	20	13,8169	
21	23,3625	21	23,45	21	19,2121	21	18,8517	21	13,8211	
22	23,3463	22	23,4745	22	19,2078	22	18,8811	22	13,8139	
23	23,3525	23	23,4601	23	19,1757	23	18,8556	23	13,8394	
24	24,1813	24	23,4775	24	19,1984	24	18,8765	24	13,8379	
25	24,3925	25	23,4942	25	19,1924	25	18,907	25	13,8571	
26	24,9722	26	23,4544	26	19,1918	26	18,9217	26	13,848	
27	25,8646	27	23,4713	27	19,2141	27	18,9154	27	13,8589	
28	26,4789	28	23,4325	28	19,1537	28	18,8588	28	13,8226	
29	25,213	29	23,475	29	19,1859	29	18,8977	29	13,8573	
30	24,8365	30	23,4513	30	19,176	30	18,9153	30	13,854	
