Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	58,7499	0	22,7274	0	19,9597	0	20,5038	0	17,835	
1	58,6898	1	22,718	1	19,9711	1	20,4659	1	17,8378	
2	58,7373	2	22,7274	2	19,9749	2	20,5029	2	17,8411	
3	58,7705	3	22,751	3	20,0104	3	20,5199	3	17,8858	
4	58,7772	4	22,7256	4	19,9949	4	20,4797	4	17,8522	
5	58,8159	5	22,779	5	19,9801	5	20,4958	5	17,8198	
6	58,8629	6	22,9952	6	20,0943	6	20,4894	6	17,8401	
7	58,9694	7	22,9526	7	20,3699	7	20,5207	7	17,8529	
8	59,0217	8	22,7597	8	20,4185	8	20,5034	8	17,8787	
9	58,9598	9	22,8417	9	20,3978	9	20,504	9	17,8395	
10	58,9741	10	23,9945	10	20,4722	10	20,5059	10	17,8732	
11	59,0264	11	25,3944	11	20,4849	11	20,4915	11	17,8369	
12	58,9927	12	25,768	12	20,5803	12	20,5258	12	17,886	
13	58,9559	13	25,9583	13	20,6757	13	20,495	13	17,8651	
14	58,8506	14	25,8531	14	20,7948	14	20,5145	14	17,8757	
15	58,8898	15	25,6256	15	21,0978	15	20,5084	15	17,8657	
16	58,8627	16	25,3715	16	21,5181	16	20,4927	16	17,8723	
17	58,8271	17	25,214	17	21,824	17	20,4844	17	17,8502	
18	58,793	18	25,1521	18	22,1284	18	20,2737	18	17,9875	
19	58,757	19	25,0357	19	22,5743	19	18,395	19	20,6079	
20	58,7723	20	24,9969	20	22,9283	20	18,298	20	22,1016	
21	58,7513	21	25,0025	21	23,4383	21	18,4182	21	22,5988	
22	58,7746	22	25,0334	22	23,492	22	18,445	22	22,9109	
23	58,7992	23	25,0421	23	23,4718	23	18,457	23	22,6233	
24	58,704	24	25,0699	24	23,096	24	18,4717	24	22,0233	
25	58,7068	25	25,0979	25	22,7602	25	18,4077	25	21,7207	
26	58,707	26	25,2418	26	22,502	26	18,0716	26	21,5135	
27	58,757	27	25,4372	27	22,1861	27	17,3161	27	21,2783	
28	58,7522	28	25,588	28	22,0764	28	16,9654	28	21,2312	
29	58,7312	29	25,696	29	21,9327	29	16,6736	29	21,1049	
30	58,7487	30	25,984	30	21,9077	30	16,3844	30	21,0187	
31	58,7458	31	26,3052	31	21,8077	31	16,2078	31	20,8664	
32	58,7472	32	27,2399	32	21,7919	32	16,0806	32	20,7521	
33	57,8267	33	27,6735	33	21,8247	33	15,9507	33	20,7047	
34	56,2487	34	27,9433	34	21,8492	34	15,8716	34	20,6927	
35	55,3739	35	28,6085	35	22,018	35	15,7847	35	20,7783	
36	55,4224	36	29,157	36	22,1451	36	15,7263	36	20,8567	
37	55,376	37	29,8382	37	22,3266	37	15,6778	37	21,0151	
38	55,8968	38	31,0067	38	22,6577	38	15,588	38	21,2148	
39	55,8297	39	31,7747	39	22,8946	39	15,5635	39	21,3549	
40	54,9494	40	32,7469	40	23,2127	40	15,5017	40	21,6071	
41	55,68	41	33,2798	41	23,3843	41	15,4911	41	21,824	
42	55,1339	42	33,702	42	23,5191	42	15,4539	42	22,0447	
43	54,7727	43	34,3171	43	23,9405	43	15,4254	43	22,3294	
44	54,6911	44	34,584	44	24,2375	44	15,3779	44	22,3976	
45	54,554	45	34,8675	45	24,5989	45	15,3686	45	22,6015	
46	54,4075	46	35,45	46	24,8734	46	15,3186	46	23,0062	
47	54,3304	47	35,9669	47	25,0796	47	15,2793	47	23,2354	
48	53,9088	48	36,8116	48	25,5534	48	15,2657	48	23,5312	
49	53,6423	49	37,4483	49	25,816	49	15,2577	49	23,7376	
50	53,7882	50	38,0323	50	26,1959	50	15,2277	50	23,9149	
51	53,4603	51	39,2209	51	26,5858	51	15,2136	51	24,2512	
52	53,4913	52	39,9014	52	26,8844	52	15,228	52	24,4834	
53	53,408	53	40,4701	53	27,1928	53	15,1994	53	24,766	
54	53,2704	54	41,1262	54	27,7231	54	15,1843	54	25,1554	
55	53,3157	55	41,3831	55	28,0232	55	15,1753	55	25,3594	
56	52,8682	56	41,6227	56	28,5036	56	15,1496	56	25,8047	
57	52,9581	57	41,8837	57	28,9918	57	15,1325	57	26,0667	
58	52,9284	58	42,1111	58	29,268	58	15,1344	58	26,2757	
59	52,6381	59	42,4793	59	29,4764	59	15,0977	59	26,7172	
60	52,8561	60	42,7847	60	29,7159	60	15,1063	60	26,8064	
61	52,7114	61	43,1375	61	29,7541	61	15,1165	61	26,9984	
62	52,7097	62	43,6109	62	30,1156	62	15,0569	62	27,1295	
63	52,4709	63	43,9596	63	30,2425	63	15,0807	63	27,2525	
64	53,0787	64	44,1873	64	30,5375	64	15,0605	64	27,5723	
65	52,1816	65	44,3056	65	30,8799	65	15,048	65	27,6867	
