Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	
0	0	0	0	
1	0	1	0,00718382	
2	1,27758	2	0,208331	
3	38,191	3	0,639363	
4	55,1502	4	0,725568	
5	97,226	5	0,158044	
6	110,721	6	0,0862042	
7	158,174	7	2,96671	
8	163,674	8	10,45	
9	159,39	9	18,5411	
10	168,115	10	30,3172	
11	157,086	11	45,0686	
12	143,547	12	55,1737	
13	118,871	13	67,4669	
14	130,417	14	73,5589	
15	124,929	15	78,0561	
16	126,861	16	84,3929	
17	124,644	17	87,4486	
18	126,425	18	88,4507	
19	133,918	19	92,4926	
20	139,484	20	94,6519	
21	147,576	21	86,6065	
22	152,984	22	100,177	
23	157,702	23	101,873	
24	157,927	24	105,993	
25	161,46	25	108,702	
26	165,802	26	111,767	
27	170,519	27	116,93	
28	174,543	28	119,763	
29	179,383	29	122,452	
30	185,454	30	127,489	
31	188,867	31	130,616	
32	197,028	32	135,796	
33	200,695	33	138,986	
34	204,968	34	141,892	
35	211,256	35	145,33	
36	210,439	36	150,328	
37	212,241	37	156,062	
38	216,989	38	159,746	
39	217,56	39	164,201	
40	216,138	40	168,718	
41	216,887	41	172,231	
42	242,864	42	174,111	
43	219,339	43	178,459	
44	218,826	44	182,216	
45	222,347	45	186,036	
46	221,751	46	188,807	
47	218,413	47	191,267	
48	220,011	48	194,078	
49	217,831	49	197,475	
50	217,585	50	198,885	
51	217,875	51	200,266	
52	219,775	52	202,894	
53	242,07	53	205,453	
54	216,413	54	205,116	
55	217,685	55	207,39	
56	218,376	56	210,447	
57	218,812	57	210,457	
58	217,207	58	211,99	
59	217,606	59	214,563	
60	218,504	60	213,709	
61	216,742	61	214,895	
62	241,761	62	215,973	
63	217,909	63	217,377	
64	217,115	64	217,951	
65	218,514	65	218,521	
66	217,056	66	218,685	
67	217,079	67	220,058	
68	218,52	68	245,166	
69	216,401	69	221,481	
70	215,829	70	222,083	
71	217,458	71	222,859	
72	215,623	72	223,318	
73	215,352	73	224,893	
74	240,406	74	224,232	
75	216,434	75	224,952	
76	214,568	76	225,016	
77	214,756	77	225,433	
78	214,246	78	225,956	
79	213,763	79	226,261	
80	215,895	80	226,516	
81	238,674	81	226,688	
82	214,943	82	226,823	
83	214,198	83	226,337	
84	213,186	84	227,031	
85	213,939	85	226,713	
86	213,175	86	228,449	
87	213,179	87	227,687	
88	214,102	88	227,115	
89	213,952	89	227,847	
90	237,723	90	228,433	
91	213,556	91	228,139	
92	212,469	92	228,945	
93	211,775	93	228,023	
94	212,045	94	228,878	
95	211,097	95	228,89	
96	211,674	96	229,017	
97	235,423	97	228,735	
98	211,293	98	228,416	
99	211,149	99	229,55	
100	211,082	100	228,575	
101	210,574	101	229,271	
102	210,296	102	228,721	
103	209,948	103	228,759	
104	210,088	104	229,259	
105	209,457	105	228,995	
106	233,132	106	229,26	
107	209,675	107	228,211	
108	209,488	108	228,174	
109	209,943	109	228,138	
110	208,551	110	227,596	
111	208,506	111	227,942	
112	208,169	112	228,317	
113	208,257	113	227,156	
114	206,757	114	227,899	
115	206,225	115	227,494	
116	229,215	116	227,213	
117	206,145	117	226,842	
118	206,312	118	227,099	
119	206,94	119	226,551	
120	206,021	120	227,015	
121	206,146	121	226,818	
122	207,032	122	226,69	
123	206,345	123	227,106	
124	205,265	124	227,269	
125	205,196	125	226,497	
126	205,382	126	201,445	
127	227,191	127	226,914	
128	204,754	128	227,494	
129	203,953	129	228,002	
130	204,01	130	226,4	
131	202,908	131	225,848	
132	202,658	132	226,538	
133	202,148	133	226,031	
134	201,959	134	225,737	
135	201,673	135	201,116	
136	201,735	136	226,552	
137	202,538	137	225,669	
138	202,703	138	226,192	
139	202,68	139	225,919	
140	200,421	140	226,076	
141	224,335	141	225,359	
142	201,44	142	225,477	
143	199,904	143	200,366	
144	200,305	144	225,366	
145	200,607	145	224,832	
146	199,279	146	225,241	
147	199,475	147	225,314	
148	200,122	148	225,144	
149	197,844	149	225,123	
150	197,913	150	199,707	
151	221,067	151	224,638	
152	199,268	152	224,174	
153	197,486	153	224,636	
154	197,588	154	224,133	
155	197,994	155	223,145	
156	197,098	156	199,221	
157	196,834	157	223,434	
158	196,512	158	223,867	
159	196,205	159	222,026	
160	217,986	160	222,271	
161	195,066	161	222,849	
162	195,756	162	197,647	
163	196,218	163	222,067	
164	195,814	164	221,716	
165	195,033	165	221,442	
166	196,127	166	221,28	
167	194,205	167	220,997	
168	193,563	168	196,645	
169	193,541	169	221,013	
170	216,493	170	221,284	
171	192,906	171	220,677	
172	193,494	172	221,308	
173	194,114	173	220,875	
174	193,488	174	195,551	
175	192,146	175	219,641	
176	192,947	176	218,931	
177	191,837	177	219,553	
178	192,961	178	220,04	
179	191,243	179	219,917	
180	191,248	180	219,232	
181	191,332	181	218,85	
182	191,08	182	193,462	
183	190,282	183	218,432	
184	212,065	184	218,022	
185	191,023	185	217,685	
186	190,402	186	217,113	
187	190,186	187	216,944	
188	190,116	188	193,483	
189	189,77	189	216,986	
190	188,991	190	216,834	
191	190,495	191	217,327	
192	189,937	192	214,999	
193	189,813	193	216,227	
194	189,298	194	214,95	
195	188,727	195	191,307	
196	189,877	196	215,347	
197	208,366	197	215,522	
198	187,645	198	215,164	
199	186,057	199	215,045	
200	188,288	200	190,982	
201	187,384	201	214,16	
202	187	202	214,796	
203	187,803	203	213,918	
204	185,73	204	213,994	
205	186,63	205	189,828	
206	186,575	206	214,112	
207	185,836	207	213,527	
208	185,335	208	213,395	
209	184,527	209	213,385	
210	184,278	210	212,555	
211	184,303	211	212,202	
212	183,921	212	188,455	
213	204,475	213	210,971	
214	183,477	214	211,421	
215	182,807	215	211,24	
216	184,893	216	210,856	
217	183,559	217	210,657	
218	183,014	218	210,713	
219	184,585	219	187,034	
220	183,984	220	210,32	
221	183,574	221	209,073	
222	183,823	222	209,494	
223	183,182	223	209,075	
224	182,797	224	209,478	
225	181,91	225	186,24	
226	180,606	226	208,654	
227	181,211	227	209,934	
228	180,791	228	208,735	
229	201,648	229	208,502	
230	180,927	230	208,013	
231	180,12	231	185,402	
232	181,526	232	207,388	
233	181,575	233	207,256	
234	180,277	234	207,777	
235	178,665	235	206,61	
236	179,576	236	207,26	
237	179,848	237	206,875	
238	179,296	238	183,506	
239	179,973	239	205,966	
240	179,636	240	206,456	
241	177,769	241	206,208	
242	179,013	242	205,786	
243	198,057	243	206,099	
244	178,419	244	205,415	
245	178,525	245	182,223	
246	179,14	246	204,961	
247	178,792	247	204,182	
248	178,525	248	204,078	
249	178,812	249	204,61	
250	177,543	250	203,41	
251	177,349	251	180,324	
252	177,479	252	203,84	
253	176,73	253	203,694	
254	176,981	254	203,084	
255	177,03	255	202,767	
256	177,038	256	201,95	
257	178,288	257	201,916	
258	178,257	258	179,921	
259	175,857	259	201,74	
260	175,984	260	201,524	
261	175,997	261	202,177	
262	175,313	262	202,009	
263	176,318	263	202,315	
264	175,331	264	201,273	
265	195,131	265	201,87	
266	174,703	266	178,705	
267	175,456	267	201,123	
268	175,582	268	200,678	
269	175,197	269	200,827	
270	175,34	270	200,14	
271	173,844	271	200,927	
272	174,855	272	177,718	
273	174,719	273	200,245	
274	173,472	274	199,354	
275	172,515	275	199,137	
276	173,095	276	199,381	
277	172,14	277	199,34	
278	171,685	278	198,922	
279	172,146	279	198,896	
280	172,839	280	177,082	
281	172,477	281	198,479	
282	172,078	282	198,379	
283	172,79	283	198,11	
284	171,192	284	197,992	
285	190,686	285	197,138	
286	171,14	286	197,474	
287	171,13	287	174,812	
288	171,189	288	197,312	
289	170,295	289	197,241	
290	170,57	290	196,714	
291	171,484	291	196,921	
292	171,14	292	196,102	
293	169,743	293	196,099	
294	170,476	294	174,398	
295	168,483	295	196,417	
296	167,272	296	196,322	
297	169,038	297	195,485	
298	170,007	298	195,7	
299	169,891	299	195,196	
300	169,027	300	173,639	
301	168,234	301	194,354	
302	168,806	302	194,184	
303	168,368	303	194,206	
304	168,637	304	194,312	
305	167,927	305	193,323	
306	168,759	306	193,631	
307	169,057	307	171,732	
308	187,566	308	193,495	
309	170,101	309	192,919	
310	168,3	310	192,878	
311	168,529	311	193,057	
312	168,931	312	193,242	
313	168,584	313	192,724	
314	167,983	314	171,467	
315	167,514	315	192,314	
316	166,372	316	191,74	
317	166,21	317	191,948	
318	167,748	318	191,53	
319	166,963	319	191,787	
320	167,445	320	191,277	
321	166	321	170,004	
322	167,052	322	191,13	
323	167,165	323	190,609	
324	165,774	324	190,734	
325	165,48	325	190,418	
326	166,075	326	190,531	
327	165,778	327	169,157	
328	166,176	328	190,791	
329	166,263	329	190,556	
330	165,877	330	189,39	
331	165,214	331	189,063	
332	165,461	332	189,959	
333	165,056	333	168,123	
334	164,95	334	188,886	
335	164,169	335	188,937	
336	163,517	336	189,531	
337	163,042	337	188,502	
338	164,191	338	188,402	
339	163,629	339	188,256	
340	163,777	340	167,223	
341	164,123	341	187,14	
342	163,913	342	186,95	
343	181,383	343	187,146	
344	162,96	344	187,231	
345	162,999	345	187,243	
346	162,67	346	165,963	
347	162,749	347	187,195	
348	163,063	348	186,136	
349	163,026	349	186,533	
350	163,007	350	186,094	
351	162,934	351	185,978	
352	162,957	352	186,195	
353	160,879	353	164,961	
354	161,953	354	185,7	
355	160,637	355	186,109	
356	160,704	356	185,235	
357	161,098	357	184,591	
358	160,622	358	185,183	
359	161,164	359	183,841	
360	159,849	360	163,356	
361	160,362	361	184,122	
362	160,453	362	184,334	
363	159,29	363	183,561	
364	159,203	364	183,862	
365	159,832	365	183,846	
366	159,689	366	162,658	
367	159,37	367	182,783	
368	158,433	368	183,187	
369	159,89	369	182,327	
370	158,468	370	182,44	
371	158,579	371	182,865	
372	159,806	372	161,169	
373	159,004	373	181,428	
374	158,386	374	181,293	
375	158,143	375	181,591	
376	175,441	376	182,005	
377	157,88	377	181,635	
378	157,677	378	161,253	
379	157,16	379	181,19	
380	157,046	380	180,194	
381	157,345	381	180,523	
382	157,009	382	180,088	
383	157,192	383	179,915	
384	157,742	384	179,805	
385	157,279	385	159,932	
386	155,87	386	179,982	
387	156,114	387	179,133	
388	155,722	388	178,736	
389	155,331	389	179,233	
390	155,178	390	179,289	
391	154,838	391	159,31	
392	155,094	392	179,196	
393	155,044	393	177,903	
394	154,559	394	178,573	
395	154,887	395	177,799	
396	155,01	396	178,169	
397	154,454	397	177,591	
398	154,433	398	157,469	
399	153,291	399	176,867	
400	153,498	400	177,016	
401	153,926	401	177,162	
402	152,729	402	176,212	
403	153,03	403	157,011	
404	152,774	404	175,518	
405	154,666	405	175,663	
406	154,121	406	175,464	
407	154,619	407	175,353	
408	153,155	408	174,962	
409	152,206	409	175,141	
410	153,411	410	155,757	
411	152,569	411	174,821	
412	153,189	412	174,683	
413	153,551	413	174,664	
414	151,825	414	173,84	
415	151,976	415	174,324	
416	152,044	416	154,651	
417	151,365	417	174,092	
418	152,217	418	173,069	
419	151,284	419	172,861	
420	150,55	420	173,193	
421	150,206	421	172,957	
422	150,565	422	153,562	
423	150,525	423	172,478	
424	151,258	424	173,236	
425	150,784	425	172,179	
426	166,362	426	172,691	
427	149,506	427	172,317	
428	149,545	428	172,26	
429	149,298	429	153,177	
430	150,58	430	171,44	
431	148,765	431	171,618	
432	149,109	432	171,88	
433	148,851	433	170,7	
434	149,126	434	170,783	
435	148,324	435	170,711	
436	148,192	436	151,364	
437	149,085	437	170,469	
438	148,495	438	169,762	
439	147,886	439	170,163	
440	148,763	440	170,036	
441	149,139	441	169,88	
442	148,714	442	150,542	
443	147,246	443	169,42	
444	147,987	444	169,593	
445	147,827	445	169,441	
446	148,012	446	168,446	
447	147,909	447	168,382	
448	146,935	448	149,505	
449	145,945	449	168,455	
450	147,169	450	168,621	
451	147,742	451	168,27	
452	147,084	452	168,167	
453	146,828	453	167,599	
454	147,27	454	148,767	
455	146,281	455	168,034	
456	146,647	456	167,599	
457	145,86	457	167,078	
458	144,903	458	166,454	
459	145,412	459	167,381	
460	145,4	460	166,908	
461	145,328	461	148,941	
462	144,589	462	166,619	
463	144,228	463	166,035	
464	145,586	464	166,394	
465	144,616	465	165,977	
466	142,918	466	165,416	
467	144,002	467	165,21	
468	143,7	468	147,186	
469	144,028	469	165,357	
470	144,468	470	164,94	
471	143,339	471	163,54	
472	144,407	472	164,186	
473	145,15	473	163,963	
474	143,992	474	163,845	
475	143,095	475	145,927	
476	143,875	476	163,884	
477	144,197	477	163,383	
478	143,431	478	163,33	
479	143,578	479	163,168	
480	143,255	480	162,836	
481	142,938	481	163,327	
482	142,416	482	144,8	
483	142,564	483	162,764	
484	141,426	484	163,147	
485	142,305	485	162,833	
486	141,374	486	161,881	
487	141,54	487	162,19	
488	140,638	488	161,873	
489	140,299	489	161,591	
490	142,374	490	143,628	
491	141,312	491	161,65	
492	141,392	492	161,073	
493	140,821	493	161,1	
494	140,428	494	160,322	
495	139,715	495	160,338	
496	140,257	496	142,687	
497	156,32	497	160,167	
498	140,344	498	160,457	
499	138,507	499	160,181	
500	139,227	500	160,045	
501	139,503	501	160,059	
502	138,81	502	159,369	
503	139,018	503	158,711	
504	139,234	504	141,325	
505	139,997	505	158,752	
506	138,815	506	158,766	
507	139,062	507	158,242	
508	138,616	508	158,903	
509	138,902	509	158,903	
510	139,808	510	140,606	
511	138,485	511	157,947	
512	137,965	512	157,751	
513	137,483	513	156,867	
514	137,067	514	157,616	
515	137,269	515	157,781	
516	137,679	516	156,97	
517	136,746	517	139,418	
518	136,961	518	155,91	
519	136,65	519	156,963	
520	136,869	520	156,542	
521	136,174	521	155,877	
522	136,853	522	155,843	
523	136,423	523	155,985	
524	134,858	524	155,526	
525	135	525	154,972	
526	134,816	526	155,295	
527	135,195	527	137,95	
528	135,278	528	155,251	
529	134,248	529	155,061	
530	134,313	530	154,143	
531	134,822	531	153,892	
532	134,488	532	153,518	
533	133,416	533	153,919	
534	133,822	534	136,777	
535	134,238	535	154,119	
536	134,109	536	153,414	
537	134,225	537	153,811	
538	133,24	538	152,563	
539	134,108	539	152,531	
540	132,96	540	153,119	
541	132,964	541	135,834	
542	133,579	542	152,013	
543	133,378	543	151,7	
544	133,385	544	151,769	
545	133,253	545	151,714	
546	132,648	546	151,219	
547	133,303	547	151,408	
548	132,475	548	134,425	
549	132,262	549	150,989	
550	132,331	550	150,861	
551	131,871	551	150,712	
552	132,915	552	150,632	
553	131,138	553	150,778	
554	130,566	554	134,072	
555	130,361	555	150,089	
556	130,908	556	149,773	
557	130,67	557	149,824	
558	131,083	558	149,631	
559	130,312	559	149,215	
560	131,939	560	148,898	
561	131,208	561	131,926	
562	130,861	562	148,736	
563	130,271	563	148,852	
564	130,737	564	148,671	
565	129,599	565	148,208	
566	129,855	566	148,198	
567	129,608	567	148,213	
568	128,54	568	131,393	
569	129,085	569	147,802	
570	128,933	570	146,982	
571	129,817	571	147,377	
572	128,124	572	147,361	
573	129,258	573	146,857	
574	128,281	574	146,598	
575	127,36	575	146,188	
576	127,929	576	129,807	
577	127,303	577	146,302	
578	128,1	578	145,758	
579	126,898	579	144,982	
580	128,448	580	144,806	
581	128,243	581	145,126	
582	127,09	582	144,989	
583	127,594	583	144,82	
584	126,841	584	144,72	
