Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	54,992	0	19,2228	0	18,4743	0	13,3818	0	13,3685	
1	54,9445	1	19,2385	1	18,5048	1	13,3847	1	13,3852	
2	55,056	2	19,2556	2	18,4924	2	13,3894	2	13,3756	
3	55,1835	3	23,3289	3	17,6253	3	13,3973	3	13,3549	
4	55,1779	4	23,4267	4	15,1904	4	13,4039	4	13,3557	
5	55,0049	5	23,7971	5	14,1171	5	13,3767	5	13,3872	
6	54,9629	6	25,2554	6	14,2319	6	13,4125	6	13,4182	
7	54,8375	7	25,9361	7	14,125	7	13,398	7	13,5949	
8	54,7546	8	26,6599	8	14,4381	8	13,3971	8	14,0907	
9	54,7188	9	26,9114	9	15,0095	9	13,3954	9	14,626	
10	54,8744	10	27,0635	10	15,9049	10	13,3846	10	15,3969	
11	54,9412	11	27,4442	11	17,0176	11	13,4002	11	16,3916	
12	54,8653	12	27,6223	12	18,0944	12	13,4154	12	17,0775	
13	54,7414	13	27,9459	13	19,0696	13	13,3848	13	17,8629	
14	54,7206	14	28,1374	14	19,481	14	13,4018	14	18,2842	
15	54,6996	15	28,3025	15	20,0104	15	13,362	15	18,5429	
16	54,7231	16	28,6554	16	20,235	16	13,4151	16	19,0167	
17	54,6375	17	28,9144	17	20,6412	17	13,3986	17	19,2029	
18	54,663	18	29,3298	18	20,9383	18	13,387	18	19,2579	
19	54,5876	19	29,9278	19	21,0391	19	13,3734	19	19,5126	
20	54,5678	20	30,5232	20	21,265	20	13,3761	20	19,6586	
21	54,4614	21	31,2546	21	21,4593	21	13,3885	21	19,8555	
22	54,4796	22	31,7906	22	21,6363	22	13,3983	22	20,0475	
23	54,5297	23	32,1383	23	21,6709	23	13,3744	23	20,1362	
24	54,4249	24	32,7438	24	22,2615	24	13,4096	24	20,4449	
25	54,3628	25	33,1162	25	22,3994	25	13,4002	25	20,6153	
26	54,3198	26	33,4977	26	22,4927	26	13,3964	26	20,8149	
27	54,3489	27	34,3371	27	23,019	27	13,4149	27	21,1761	
28	54,2992	28	34,8873	28	23,3021	28	13,4295	28	21,3787	
29	54,2108	29	35,5216	29	23,6151	29	13,3864	29	21,5141	
30	54,0219	30	36,1871	30	23,8776	30	13,4131	30	21,8752	
31	53,8825	31	36,625	31	24,0891	31	13,3922	31	22,0619	
32	53,1643	32	37,5692	32	24,4916	32	13,3906	32	22,404	
33	52,5105	33	38,0973	33	24,7762	33	13,3832	33	22,6083	
34	52,2157	34	38,6053	34	25,0006	34	13,4141	34	22,8322	
35	51,765	35	39,3137	35	25,2917	35	13,4033	35	23,0495	
36	51,6359	36	39,6683	36	25,7006	36	13,3952	36	23,3731	
37	51,3183	37	40,2269	37	26,1395	37	13,4166	37	23,7752	
38	51,1093	38	40,6932	38	26,2907	38	13,4044	38	24,0075	
39	51,0844	39	40,9971	39	26,5566	39	13,3837	39	24,2825	
40	51,1183	40	41,531	40	27,1849	40	13,4159	40	24,6145	
41	50,9811	41	41,9079	41	27,5122	41	13,438	41	24,8698	
42	50,7777	42	42,1145	42	27,6065	42	13,3809	42	24,9374	
43	50,694	43	42,5616	43	28,0031	43	13,4299	43	25,275	
44	50,6727	44	42,8174	44	28,2929	44	13,4272	44	25,5217	
45	50,4167	45	43,16	45	28,4018	45	13,4258	45	25,7739	
46	50,4384	46	43,299	46	28,5804	46	13,4426	46	25,9746	
47	50,5628	47	43,5021	47	29,0051	47	13,3946	47	26,0899	
48	50,5873	48	43,771	48	29,1679	48	13,4213	48	26,3032	
49	50,5736	49	43,9309	49	29,4724	49	13,4214	49	26,5287	
50	50,5938	50	44,0644	50	29,6223	50	13,4041	50	26,605	
51	50,5424	51	44,2501	51	29,7888	51	13,4313	51	26,7239	
52	50,5471	52	44,4218	52	29,8343	52	13,4403	52	26,9073	
53	50,414	53	44,5251	53	30,0645	53	13,4305	53	27,0673	
54	50,4208	54	44,6236	54	30,2593	54	13,446	54	27,0605	
55	50,2985	55	44,7117	55	30,2629	55	13,4377	55	27,2032	
56	49,9631	56	44,9078	56	30,4132	56	13,3828	56	27,3511	
57	49,9257	57	45,0659	57	30,5423	57	13,446	57	27,415	
58	49,8819	58	45,0915	58	30,6744	58	13,4471	58	27,5179	
59	49,86	59	45,2269	59	30,7834	59	13,3956	59	27,6371	
60	49,8099	60	45,2676	60	30,7645	60	13,446	60	27,6308	
61	49,6599	61	45,3743	61	30,9881	61	13,4436	61	27,7072	
62	49,6776	62	45,4423	62	31,0001	62	13,4491	62	27,7842	
63	49,6095	63	45,5583	63	31,0946	63	13,4573	63	27,8856	
64	49,3271	64	45,6058	64	31,1949	64	13,4214	64	27,8878	
65	49,1089	65	45,653	65	31,1493	65	13,4489	65	27,9531	
66	49,1763	66	45,6888	66	31,2818	66	13,4461	66	27,9612	
67	49,2411	67	45,752	67	31,3435	67	13,4263	67	28,0325	
68	49,2296	68	45,8397	68	31,3356	68	13,4516	68	28,0971	
69	48,8383	69	45,8976	69	31,5341	69	13,4429	69	28,1437	
70	48,9988	70	45,9264	70	31,6008	70	13,4501	70	28,1908	
71	48,7748	71	45,9536	71	31,5199	71	13,4366	71	28,2288	
72	48,658	72	45,9706	72	31,6588	72	13,448	72	28,2706	
73	48,7593	73	45,9831	73	31,6892	73	13,4479	73	28,3751	
74	48,8222	74	46,0462	74	31,6851	74	13,4575	74	28,3408	
75	48,7778	75	46,0936	75	31,7279	75	13,4762	75	28,4073	
76	48,8156	76	46,0507	76	31,8088	76	13,4755	76	28,4108	
77	48,8549	77	46,0664	77	31,812	77	13,4425	77	28,4055	
78	48,8337	78	46,1097	78	31,8892	78	13,4556	78	28,4534	
79	48,7827	79	46,1223	79	31,9339	79	13,4538	79	28,4718	
80	48,5881	80	46,1403	80	31,8104	80	13,4561	80	28,491	
81	48,5441	81	46,174	81	31,9163	81	13,4478	81	28,4941	
82	48,5034	82	46,2018	82	31,935	82	13,485	82	28,5403	
83	48,4642	83	46,178	83	31,9607	83	13,4677	83	28,4907	
84	48,4304	84	46,1788	84	32,0287	84	13,4743	84	28,5433	
85	48,3412	85	46,1988	85	31,9987	85	13,43	85	28,4779	
86	48,1763	86	46,2007	86	32,0513	86	13,44	86	28,6032	
87	48,0111	87	46,2544	87	32,1047	87	13,4514	87	28,5641	
88	47,9333	88	46,2711	88	32,0602	88	13,4758	88	28,5505	
89	47,9344	89	46,2809	89	32,0799	89	13,471	89	28,5942	
90	47,9419	90	46,2888	90	32,088	90	13,4873	90	28,6494	
91	47,9163	91	46,2425	91	32,0678	91	13,4625	91	28,6052	
92	47,8793	92	46,2347	92	32,1321	92	13,4788	92	28,6749	
93	47,9103	93	46,2399	93	32,1834	93	13,4751	93	28,6101	
94	47,8367	94	46,1956	94	32,1212	94	13,4586	94	28,6503	
95	47,8095	95	46,1988	95	32,1873	95	13,4705	95	28,6629	
96	47,8293	96	46,1761	96	32,1263	96	13,4357	96	28,6366	
97	47,8164	97	46,2044	97	32,1409	97	13,4657	97	28,6479	
98	47,7748	98	46,21	98	32,1855	98	13,4987	98	28,6597	
99	47,7625	99	46,1873	99	32,1724	99	13,4668	99	28,7031	
100	47,7633	100	46,206	100	32,1955	100	13,4865	100	28,658	
101	47,7679	101	46,1236	101	32,1469	101	13,4813	101	28,6991	
102	47,8358	102	46,0979	102	32,1396	102	13,4615	102	28,6428	
103	47,8995	103	46,143	103	32,2078	103	13,4851	103	28,6689	
104	47,7553	104	46,1126	104	32,1681	104	13,5053	104	28,7223	
105	47,5961	105	46,1218	105	32,2192	105	13,4748	105	28,6742	
106	47,5281	106	46,0765	106	32,1498	106	13,4648	106	28,6819	
107	47,5298	107	46,091	107	32,1739	107	13,4974	107	28,6448	
108	47,5424	108	46,0725	108	32,1678	108	13,4688	108	28,6137	
109	47,5669	109	46,0587	109	32,1238	109	13,4694	109	28,612	
110	47,5693	110	46,0149	110	32,1724	110	13,484	110	28,5906	
111	47,5471	111	45,9931	111	32,1536	111	13,4577	111	28,5873	
112	47,5899	112	45,9766	112	32,1594	112	13,498	112	28,6524	
113	47,5863	113	45,9244	113	32,1014	113	13,4857	113	28,5631	
114	47,6012	114	45,8913	114	32,1679	114	13,4961	114	28,6228	
