Time - Plot 0	Degrees Celsius - Plot 0	Time - Plot 1	Degrees Celsius - Plot 1	Time - Plot 2	Degrees Celsius - Plot 2	Time - Plot 3	Degrees Celsius - Plot 3	Time - Plot 4	Degrees Celsius - Plot 4	
0	27,8464	0	25,7228	0	19,0486	0	20,1517	0	13,5507	
1	27,2441	1	25,718	1	19,0049	1	20,1431	1	13,5535	
2	27,0115	2	25,7285	2	18,9922	2	20,118	2	13,5183	
3	27,2492	3	25,7569	3	19,0435	3	20,147	3	13,5622	
4	28,7299	4	25,7898	4	19,0372	4	20,1611	4	13,5721	
5	27,6222	5	25,791	5	19,0602	5	20,1742	5	13,5585	
6	26,6627	6	25,766	6	19,0137	6	20,1358	6	13,5152	
7	26,849	7	25,7797	7	18,9867	7	20,1225	7	13,5371	
8	28,0312	8	25,8118	8	18,9439	8	20,0854	8	13,5695	
9	27,8845	9	25,7929	9	18,7036	9	19,9204	9	13,5476	
10	27,1566	10	25,8012	10	18,6777	10	19,7825	10	13,5059	
11	27,1867	11	25,8206	11	18,5652	11	19,6592	11	13,5489	
12	27,6595	12	25,858	12	18,3069	12	19,4343	12	13,5938	
13	28,0187	13	25,8647	13	18,1696	13	19,1894	13	13,5762	
14	27,6213	14	25,8389	14	18,2582	14	18,8273	14	13,5373	
15	27,3484	15	25,815	15	18,2008	15	18,6103	15	13,5474	
16	27,0499	16	25,8242	16	18,1698	16	18,4377	16	13,5382	
17	27,1807	17	25,7958	17	18,1815	17	17,836	17	13,5318	
18	27,3823	18	25,8372	18	18,2204	18	17,4185	18	13,589	
19	27,6682	19	25,826	19	18,1991	19	16,9264	19	13,5591	
20	27,9168	20	25,8332	20	18,1797	20	16,3508	20	13,5591	
21	27,7121	21	25,8286	21	18,2036	21	16,1412	21	13,5526	
22	27,4456	22	25,7902	22	18,2073	22	15,8683	22	13,5448	
23	27,4122	23	25,8165	23	18,2114	23	15,5415	23	13,5252	
24	27,3553	24	25,803	24	18,2121	24	15,3912	24	13,5391	
25	27,3462	25	25,8226	25	18,2379	25	15,2415	25	13,5432	
26	27,2732	26	25,7965	26	18,2027	26	14,9975	26	13,5102	
27	27,2261	27	25,7875	27	18,2098	27	14,9056	27	13,5335	
28	28,5162	28	25,8129	28	18,1973	28	14,7692	28	13,5149	
29	28,9803	29	25,7902	29	18,1707	29	14,6992	29	13,5057	
30	29,4303	30	25,8179	30	18,1886	30	14,5628	30	13,5395	
31	29,1256	31	25,828	31	18,1854	31	14,5181	31	13,563	
32	29,3946	32	25,8167	32	18,176	32	14,4629	32	13,5411	
33	29,1544	33	25,8325	33	18,2351	33	14,3474	33	13,5514	
